episode,timestep,reward,length
1,1000,975.7506332417379,1000
2,2000,986.3654972066414,1000
3,3000,977.6611933499161,1000
4,4000,984.2024076695516,1000
5,5000,971.1140921560714,1000
6,6000,976.1608028644634,1000
7,7000,988.3064206747746,1000
8,8000,983.3929329291018,1000
9,9000,963.6611027163557,1000
10,10000,964.0267178957515,1000
11,11000,978.9498396071212,1000
12,12000,990.45564344164,1000
13,13000,985.1009695523146,1000
14,14000,949.7563492766743,1000
15,15000,968.846431872803,1000
16,16000,974.706047243727,1000
17,17000,981.3749550227185,1000
18,18000,985.537372481847,1000
19,19000,982.8802625052072,1000
20,20000,979.3419353744284,1000
21,21000,977.6203220560599,1000
22,22000,983.6406261872193,1000
23,23000,1001.517085345105,1000
24,24000,983.3777258963875,1000
25,25000,988.9897489624944,1000
26,26000,979.4569327751079,1000
27,27000,960.9981492813181,1000
28,28000,969.2176698508999,1000
29,29000,984.4937444554914,1000
30,30000,975.6794737529167,1000
31,31000,977.9373218858308,1000
32,32000,976.9075694589483,1000
33,33000,959.9415794605785,1000
34,34000,983.5656459377103,1000
35,35000,964.1957457782048,1000
36,36000,948.5462428273709,1000
37,37000,943.2889098214158,1000
38,38000,941.996958533843,1000
39,39000,957.0581904990783,1000
40,40000,963.5122601661072,1000
41,41000,964.1965475206853,1000
42,42000,983.4718846339359,1000
43,43000,946.6610679220829,1000
44,44000,975.9178478985881,1000
45,45000,990.2546603464895,1000
46,46000,974.7750223769815,1000
47,47000,969.4081005667261,1000
48,48000,975.9002146475075,1000
49,49000,836.329799084492,1000
50,50000,944.853043984409,1000
51,51000,941.9914149237361,1000
52,52000,946.7479892881652,1000
53,53000,957.3271464521669,1000
54,54000,981.7941013374766,1000
55,55000,927.6856597482845,1000
56,56000,962.421754984163,1000
57,57000,970.0981682249082,1000
58,58000,984.3047061639959,1000
59,59000,968.31384136818,1000
60,60000,962.52696224879,1000
61,61000,928.752941962715,1000
62,62000,950.9221120233653,1000
63,63000,965.2736258582709,1000
64,64000,984.4845761888922,1000
65,65000,949.2725634399148,1000
66,66000,963.2069441570322,1000
67,67000,952.1546714456084,1000
68,68000,946.9920848139421,1000
69,69000,934.9428221009131,1000
70,70000,972.2320287534856,1000
71,71000,984.2855212337514,1000
72,72000,963.1830401277654,1000
73,73000,976.3772514420722,1000
74,74000,948.4482245304637,1000
75,75000,956.3635516125038,1000
76,76000,975.359721219577,1000
77,77000,964.5848297092355,1000
78,78000,969.7368241669641,1000
79,79000,965.8926694434338,1000
80,80000,956.8881205203586,1000
81,81000,953.958991396982,1000
82,82000,894.6856920562722,1000
83,83000,938.5214231172977,1000
84,84000,946.4385577184379,1000
85,85000,1057.4813976969617,1000
86,86000,942.8026919500378,1000
87,87000,968.7729263715504,1000
88,88000,947.6504555903443,1000
89,89000,1032.6328075494996,1000
90,90000,909.6203421127069,1000
91,91000,967.0658787159371,1000
92,92000,924.9314226736135,1000
93,93000,934.8695239375452,1000
94,94000,959.1750783796712,1000
95,95000,940.2847836950887,1000
96,96000,962.862441588984,1000
97,97000,922.6698607330655,1000
98,98000,716.479273686894,1000
99,99000,880.1683739299336,1000
100,100000,960.4355517190199,1000
101,101000,948.9788702279376,1000
102,102000,935.3142194648443,1000
103,103000,887.6008112219665,1000
104,104000,968.9249291484992,1000
105,105000,925.9171724451519,1000
106,106000,959.154513168932,1000
107,107000,979.4994605944382,1000
108,108000,1078.1922369386393,1000
109,109000,949.2906390789063,1000
110,110000,950.8722698472377,1000
111,111000,906.2858962232839,1000
112,112000,931.7126740650203,1000
113,113000,968.2238841380099,1000
114,114000,941.4451917345131,1000
115,115000,888.4757470630965,1000
116,116000,932.3714033495515,1000
117,117000,932.3047236786563,1000
118,118000,897.4176653399311,1000
119,119000,920.3527488597729,1000
120,120000,847.6995870901723,1000
121,121000,914.3133239144653,1000
122,122000,851.5646985933054,1000
123,123000,958.5215122614655,1000
124,124000,1060.4821468563418,1000
125,125000,909.0207045565431,1000
126,125178,162.5656238490982,178
127,126178,948.288302801741,1000
128,127178,957.0675775144865,1000
129,128178,825.1876585574925,1000
130,129178,919.3338718288196,1000
131,130178,911.8130502259189,1000
132,131178,928.4709600112938,1000
133,132178,906.704744981964,1000
134,133178,941.8760622251175,1000
135,134178,844.5175855951795,1000
136,135178,952.2298733277801,1000
137,136178,770.6902429523891,1000
138,137178,937.0363865158062,1000
139,138178,721.9457128844188,1000
140,139178,954.3381250703713,1000
141,140178,964.1559589031881,1000
142,141178,892.0061473946205,1000
143,142178,916.5947328195257,1000
144,143178,920.9665554695147,1000
145,144178,851.5128091543311,1000
146,145178,895.678495313448,1000
147,146178,953.1585181292943,1000
148,147178,727.1341344423774,1000
149,148178,866.6014484284036,1000
150,149178,838.365849719465,1000
