episode,timestep,reward,length
1,1000,976.7436665848912,1000
2,2000,989.6984325858076,1000
3,3000,990.5636502902191,1000
4,4000,947.6179643034773,1000
5,5000,986.3181448888106,1000
6,6000,980.4590418186226,1000
7,7000,965.1016993881294,1000
8,8000,978.690559627383,1000
9,9000,1006.4268710050427,1000
10,10000,967.3452344232694,1000
11,11000,973.9474108399305,1000
12,12000,984.421987275422,1000
13,13000,983.5616736505158,1000
14,14000,976.596887991283,1000
15,15000,985.0463763903608,1000
16,16000,977.4075986334057,1000
17,17000,975.5787335401507,1000
18,18000,981.39787666168,1000
19,19000,977.6633765656196,1000
20,20000,990.8978735762958,1000
21,21000,970.3553614288811,1000
22,22000,976.3602601256312,1000
23,23000,987.3703163349785,1000
24,24000,968.781877762645,1000
25,25000,973.9215648268255,1000
26,26000,969.1831507513776,1000
27,27000,1001.495703876097,1000
28,28000,989.9285727956677,1000
29,29000,962.1910622899287,1000
30,30000,983.4655779866767,1000
31,31000,968.1624125598656,1000
32,32000,966.3002210564354,1000
33,33000,971.8169588250377,1000
34,34000,972.9075938131166,1000
35,35000,972.8929209941618,1000
36,36000,957.5807681710021,1000
37,37000,973.1485460899232,1000
38,38000,979.9066748265349,1000
39,39000,984.6329988258476,1000
40,40000,968.606560731728,1000
41,41000,965.9641392393933,1000
42,42000,969.6679386605102,1000
43,43000,960.9535555660397,1000
44,44000,951.1849102599851,1000
45,45000,960.9251243565134,1000
46,46000,963.8289785656871,1000
47,47000,957.9092363494533,1000
48,48000,985.2421285869304,1000
49,49000,957.830323632074,1000
50,50000,972.5468573064779,1000
51,51000,987.2065656600494,1000
52,52000,976.9307513429999,1000
53,53000,988.726346357472,1000
54,54000,968.6663869955695,1000
55,55000,972.441579604947,1000
56,56000,982.1475669064041,1000
57,57000,983.1856442284335,1000
58,58000,973.9421363806398,1000
59,59000,980.9955424972379,1000
60,60000,990.2669239244048,1000
61,61000,962.8060108575019,1000
62,62000,978.6496575794536,1000
63,63000,965.5140001337277,1000
64,64000,983.7210815820237,1000
65,65000,963.1224567803492,1000
66,66000,987.5563591528808,1000
67,67000,972.134339410436,1000
68,68000,992.1076018229048,1000
69,69000,980.5433824115277,1000
70,70000,979.6740653728565,1000
71,71000,955.7125875171271,1000
72,72000,983.4864883683765,1000
73,73000,987.8488421596314,1000
74,74000,972.1397644155702,1000
75,75000,978.2803820069893,1000
76,76000,975.6741997502146,1000
77,77000,975.1924050946654,1000
78,78000,979.9199877736048,1000
79,79000,981.931301258738,1000
80,80000,987.4134194075891,1000
81,81000,970.7612007895782,1000
82,82000,971.2867410283922,1000
83,83000,970.211502506221,1000
84,84000,962.268188716745,1000
85,85000,977.2495379075341,1000
86,86000,955.0027191720873,1000
87,87000,944.8789418801979,1000
88,88000,981.4377332176527,1000
89,89000,947.4123171415381,1000
90,90000,953.0026401732074,1000
91,91000,968.3071015717856,1000
92,92000,940.7549849298542,1000
93,93000,972.1118573432128,1000
94,94000,964.7615247082607,1000
95,95000,981.6047679356324,1000
96,96000,973.6931698914624,1000
97,97000,986.0451657212108,1000
98,98000,965.089522094862,1000
99,99000,980.4563554266064,1000
100,100000,977.0799567508371,1000
101,101000,963.6998757694356,1000
102,102000,990.4164780183883,1000
103,103000,931.1041020950339,1000
104,104000,968.3964741534563,1000
105,105000,976.1517889465748,1000
106,106000,968.4484608657189,1000
107,107000,938.2647771659159,1000
108,108000,950.6770024491256,1000
109,109000,960.3879088521348,1000
110,110000,959.3493917028079,1000
111,111000,950.4976074625791,1000
112,112000,965.7296687646873,1000
113,113000,946.3416320121955,1000
114,114000,939.7100804469034,1000
115,115000,970.8007488227865,1000
116,116000,959.1086484049887,1000
117,117000,980.5550583826409,1000
118,118000,976.8217550799252,1000
119,119000,964.0361002992672,1000
120,120000,988.8728813739361,1000
121,121000,962.4510839898961,1000
122,122000,967.0252801990179,1000
123,123000,948.8353433825937,1000
124,124000,1004.5382630173704,1000
125,125000,955.143326882579,1000
126,126000,970.7498435227004,1000
127,127000,926.8001416070261,1000
128,128000,952.5449671335639,1000
129,129000,973.4158916904996,1000
