episode,timestep,reward,length
1,93,-93.12112811085656,93
2,2093,-11.302706801459577,2000
3,2198,-92.55742314291572,105
4,2288,-111.85936653397997,90
5,2392,-92.14204773014616,104
6,2521,-100.31138005863501,129
7,2662,-98.94401873329429,141
8,4662,-21.084678331036194,2000
9,6662,-24.24742820835943,2000
10,6797,-92.95639451064072,135
11,6891,-93.02008478678434,94
12,8891,-7.7710825453169985,2000
13,9157,-100.27187339450133,266
14,9271,-91.88094979802621,114
15,9379,-92.45306398119273,108
16,9479,-112.4526161065634,100
17,9582,-112.15337869728278,103
18,9666,-92.86333677076112,84
19,9820,-111.95497030733782,154
20,9991,-100.48130482106218,171
21,10098,-91.81357476655299,107
22,10195,-112.16651454040978,97
23,10251,-109.53014235978209,56
24,10429,-112.73733227406318,178
25,12429,-26.723413754314453,2000
26,12550,-111.63995311500156,121
27,12651,-111.79491653623239,101
28,12753,-115.66274442358238,102
29,14753,-21.660582898996754,2000
30,16753,-9.454152983609218,2000
31,18753,-22.215604247978014,2000
32,18871,-112.38123451201845,118
33,18973,-92.71001459203838,102
34,19076,-91.84523657273478,103
35,19151,-111.69583388010359,75
36,19256,-92.50242103191407,105
37,21256,-31.140486313405678,2000
38,21382,-98.96480325970572,126
39,23382,-17.855211136809473,2000
40,25382,-27.514699339960345,2000
41,25489,-92.85787651259359,107
42,25593,-92.35240642177472,104
43,25705,-117.38422082711261,112
44,25785,-111.77864808934041,80
45,25895,-101.25705082201677,110
46,27895,-27.80662501901985,2000
47,27996,-92.89781661204654,101
48,29996,-13.940942245048609,2000
49,30124,-99.7560716445637,128
50,30230,-92.25789405409594,106
51,30406,-92.15075015296813,176
52,30490,-93.35713679130197,84
53,32490,-18.403541709385472,2000
54,32572,-97.7129891517074,82
55,32675,-92.72885143423878,103
56,32760,-93.12108251564838,85
57,32868,-114.5793938752274,108
58,32972,-92.17710420126076,104
59,34972,-10.982137377307126,2000
60,35093,-98.96036056239495,121
61,35195,-92.23007766850996,102
62,35299,-92.05181461307053,104
63,35410,-100.40488509076599,111
64,35591,-100.76235631750559,181
65,37591,-3.197720700717253,2000
66,37719,-100.10201803637194,128
67,37786,-111.07969266139797,67
68,37860,-111.84304364817788,74
69,39860,-13.163635917970641,2000
70,39947,-92.71641948859828,87
71,40052,-92.60000979164008,105
72,40119,-110.94638684649217,67
73,40221,-92.17184938806945,102
74,40337,-99.8707594668329,116
75,42337,-16.371313090086428,2000
76,42443,-92.8526975041376,106
77,44443,-23.058191797060662,2000
78,44509,-110.90404946975184,66
79,44610,-93.74705212364813,101
80,46610,-7.533326759448731,2000
81,46719,-92.39000316341783,109
82,46813,-112.46840546701543,94
83,46879,-111.05606787448225,66
84,48879,-17.56568831370545,2000
85,48984,-91.76398277772236,105
86,49075,-112.74689714557424,91
87,51075,-12.982842939766067,2000
88,53075,-1.0808790722342345,2000
89,53176,-92.48078143190902,101
90,53249,-110.97233833718371,73
91,55249,-11.458088053610483,2000
92,55346,-111.73743593729708,97
93,55523,-96.79474968132837,177
94,57523,-8.83740417034639,2000
95,57593,-111.83866429141005,70
96,57758,-112.78478412174465,165
97,57996,-113.58902200221024,238
98,59996,-14.852992778376017,2000
99,60102,-93.24055996886243,106
100,60198,-111.75137909269398,96
101,60319,-91.80575392058132,121
102,60414,-92.9859102379362,95
103,60541,-112.84505079780594,127
104,62541,-23.6334914742,2000
105,62625,-93.31457836610268,84
106,64625,-14.582065133930966,2000
107,64733,-92.2176378927318,108
108,66733,-17.677747040482284,2000
109,68733,-15.500669417367595,2000
110,70733,-7.518878415610052,2000
111,70890,-92.33951823499694,157
112,72890,-14.749469682384966,2000
113,72982,-111.91491216007554,92
114,73056,-111.14200223930763,74
115,73170,-92.2984971212463,114
116,73256,-111.61436844914911,86
117,75256,-22.81166108654447,2000
118,77256,-12.248098680348255,2000
119,77370,-93.1517449566318,114
120,77524,-101.3668355237889,154
121,77607,-94.03293588161742,83
122,79607,-25.351782654765664,2000
123,81607,-3.1241723237177386,2000
124,81708,-93.14142624467539,101
