episode,timestep,reward,length
1,108,-92.04042440221832,108
2,2108,-23.718189638085136,2000
3,2218,-118.66636077974549,110
4,4218,-7.005637453963026,2000
5,4328,-116.74737668028502,110
6,4440,-91.67396892928666,112
7,6440,-11.014168143361807,2000
8,6626,-97.94963120593059,186
9,8626,-12.906930945150402,2000
10,10626,-7.870523972553157,2000
11,10731,-92.2897101989145,105
12,10869,-100.41732551549198,138
13,11005,-92.7115998470188,136
14,11109,-92.08691031346162,104
15,13109,-6.150268455713924,2000
16,13207,-111.44536467633229,98
17,13349,-93.82366136806165,142
18,15349,-13.746777293056324,2000
19,15437,-111.47308715269658,88
20,15546,-100.34106075159542,109
21,17546,-11.943269214307188,2000
22,17625,-111.37809662985848,79
23,17788,-101.38371804408294,163
24,19788,-27.03228338931179,2000
25,19915,-112.12762238518512,127
26,20088,-113.31263691266463,173
27,20216,-112.90493926642006,128
28,20318,-92.24378810864859,102
29,20502,-113.36955030536708,184
30,20666,-112.4954850855141,164
31,20740,-94.45364783876046,74
32,20842,-112.2907595102211,102
33,20914,-111.93046415945297,72
34,22914,-28.870711918826043,2000
35,23019,-112.04362020937657,105
36,23121,-92.23782983278232,102
37,25121,-12.664455782835809,2000
38,25241,-91.8181598935616,120
39,25346,-92.57126418084616,105
40,25441,-93.85959705576825,95
41,27441,2.612818624680614,2000
42,27546,-91.98627314643464,105
43,27650,-92.27647130822979,104
44,27740,-114.96031002474662,90
45,27848,-92.19933933149541,108
46,28034,-113.44276410080052,186
47,28133,-92.12983985817677,99
48,28236,-92.23140354846223,103
49,28350,-112.23200668855381,114
50,28456,-112.40154946380072,106
51,30456,-10.819966266199488,2000
52,30563,-111.56157867261344,107
53,30693,-117.92164724102085,130
54,30802,-92.42952538015699,109
55,30882,-115.18476545181294,80
56,31005,-112.39667657546828,123
57,31105,-92.94130968747888,100
58,31207,-112.13575027862876,102
59,31339,-100.62665354456155,132
60,31479,-112.2003432195731,140
61,31617,-118.53341153169622,138
62,31756,-112.36025282185915,139
63,33756,-13.421646467206136,2000
64,35756,-11.646400966246942,2000
65,35857,-93.263456600564,101
66,35998,-99.46841911726158,141
67,36099,-92.99846562177765,101
68,38099,-17.057664306901334,2000
69,38201,-112.4549031330727,102
70,40201,-1.1602769334498877,2000
71,42201,-21.934846449348953,2000
72,42286,-118.0556013945459,85
73,42430,-120.52317248494872,144
74,42572,-93.03522866421015,142
75,44572,-4.974903633990927,2000
76,44671,-93.76627680067287,99
77,44773,-92.5481970601405,102
78,44878,-92.0298858100216,105
79,45057,-100.14176963430258,179
80,45129,-110.78854592284027,72
81,47129,-22.80476435200968,2000
82,47217,-115.64286789570204,88
83,47284,-111.1222739519872,67
84,47383,-116.90280495243803,99
85,47511,-123.5372733755747,128
86,49511,-6.655464858347708,2000
87,49619,-92.05633812725559,108
88,49711,-93.0761825605699,92
89,49814,-92.68008949822018,103
90,49911,-92.91331281122139,97
91,50044,-100.71154819714705,133
92,50196,-91.24833690891559,152
93,52196,-13.819469683830397,2000
94,52300,-93.05926237883628,104
95,54300,-6.868133824838921,2000
96,54396,-117.45127207335277,96
97,54479,-111.99450379304973,83
98,54562,-111.98078788594526,83
99,54643,-111.96492283019079,81
100,54751,-92.74085909517791,108
101,54885,-100.63040444317289,134
102,56885,-6.531261236953907,2000
103,56984,-112.24903273751535,99
104,57091,-99.83152004319162,107
105,57191,-92.562197514386,100
106,57291,-112.5337172575934,100
107,57405,-92.56961347171595,114
108,57574,-100.02210919576345,169
109,57677,-92.29536571454621,103
110,59677,1.6005177724480975,2000
111,59774,-112.00855691372536,97
112,61774,-33.48590795482282,2000
113,63774,-17.271042911393813,2000
114,63878,-92.56921637576453,104
115,64035,-101.2278214206626,157
116,66035,-5.060805880787315,2000
117,66113,-111.23102977458254,78
118,66236,-112.91625085860781,123
119,66388,-92.16381509270994,152
120,68388,-10.129733257855792,2000
121,68439,-109.20547715573916,51
122,68576,-91.22609078462597,137
123,70576,-18.694977629347083,2000
124,72576,-22.075086664735526,2000
125,72683,-100.32456490295719,107
126,72792,-93.50730547210898,109
127,72897,-92.6578355910971,105
128,74897,-10.330548724375246,2000
129,74987,-112.13475268933337,90
130,76987,-7.255689701572166,2000
131,77095,-112.61630797399995,108
132,77211,-112.55441604990727,116
133,77355,-91.96573143828263,144
134,77459,-92.40845390184474,104
135,79459,-33.876534510651915,2000
136,81459,-30.965957149138482,2000
137,81648,-98.76500884015532,189
138,81733,-111.6917904798968,85
139,81845,-93.36803184345413,112
140,81980,-92.09189087800185,135
141,82106,-101.67539416872286,126
142,82175,-111.94788225515012,69
143,84175,-13.502208561039161,2000
144,84284,-112.63613414095916,109
145,84356,-111.21503469985024,72
146,84468,-117.96876906166304,112
147,84531,-110.83973110147161,63
148,84597,-110.98692849769353,66
149,84766,-114.59148511986035,169
150,86766,-24.22026799826225,2000
151,88766,-28.44755871826613,2000
152,88859,-111.96387220383396,93
153,88976,-101.72851056881386,117
154,89038,-112.09362701000838,62
155,91038,-16.652667997743066,2000
156,93038,-5.656065881433707,2000
157,93262,-102.84437821586782,224
158,95262,-19.27279112185239,2000
159,97262,-13.102162397338443,2000
160,97411,-113.85522213167442,149
161,97477,-109.99815963580201,66
162,99477,-29.706905433832592,2000
163,101477,-31.909258976860812,2000
164,101577,-117.08687900174613,100
165,101691,-118.127784571288,114
166,101823,-93.4763620874727,132
167,101897,-111.24968132607178,74
168,102021,-112.98123220567504,124
169,102164,-91.22888459789834,143
170,102274,-92.77270868434442,110
171,102344,-112.27321847811473,70
172,102456,-92.51067218652176,112
173,102519,-111.82725796064902,63
174,102663,-100.97567924960772,144
175,102786,-113.20460974803007,123
176,104786,-8.498810244128023,2000
177,104896,-111.55198855200142,110
178,105017,-113.1955031005604,121
179,105096,-112.34065286498085,79
180,105263,-113.8071098924052,167
181,105371,-119.94365685696752,108
182,107371,-24.52267954366223,2000
183,107480,-92.77984622694224,109
184,107551,-111.09848667794711,71
185,109551,-6.807676174195174,2000
186,109699,-100.27810484621915,148
187,111699,-11.51359930442134,2000
188,111810,-112.38257681699545,111
189,111905,-112.32678124927872,95
190,111981,-95.88968025233035,76
191,112098,-92.81885201602358,117
192,114098,-16.015063608984512,2000
193,116098,-21.664287357791387,2000
194,116183,-95.76466771356792,85
195,116289,-92.17704712284056,106
196,118289,-18.208768861305877,2000
197,118413,-100.31162721115956,124
198,120413,-26.545688930007106,2000
199,120532,-92.70414205188435,119
200,122532,-11.410413063233209,2000
201,122649,-102.45734138344169,117
202,124649,-27.736128292357687,2000
203,124749,-93.0363884490108,100
204,126749,-29.969932436361525,2000
205,126861,-94.13094175842865,112
206,126970,-93.16653687790642,109
207,127075,-92.76706582249801,105
208,127172,-118.30465262182722,97
209,127283,-92.6487322013899,111
210,127386,-112.87346877288428,103
211,129386,-27.892015765255373,2000
212,131386,-7.903046130700532,2000
213,133386,-30.195544456613934,2000
214,135386,-35.37336597709507,2000
215,135490,-104.95984267495139,104
216,137490,-14.251153924413922,2000
217,139490,-25.78477441522053,2000
218,141490,-29.128459024693,2000
219,143490,-20.62608549329091,2000
220,143553,-112.1564387577431,63
221,145553,-22.967647219999254,2000
222,145634,-116.20511779290524,81
223,147634,-29.01526521658919,2000
224,147729,-93.0922351074243,95
225,149729,-29.474811359075296,2000
226,151729,-16.19069977861733,2000
227,153729,-20.657866287393336,2000
228,155729,-10.712611791524516,2000
229,155851,-104.70495525218881,122
230,157851,-12.704991613528382,2000
231,157922,-95.25873285873443,71
232,159922,-12.726404959837598,2000
233,161922,-14.911937547981605,2000
234,162049,-118.11798625431477,127
235,162136,-116.48109961951515,87
236,164136,-11.371139693183997,2000
237,164213,-111.78783066308957,77
238,166213,-40.24076047571638,2000
239,166360,-93.04471284109722,147
240,168360,-28.929777111324533,2000
241,170360,-46.42629150662461,2000
242,170475,-119.1146108431794,115
243,172475,-15.89086197963278,2000
244,174475,-21.495750291120896,2000
245,174575,-118.58009684883825,100
246,176575,-7.193249075335621,2000
247,178575,-24.85251059078749,2000
248,180575,-24.96014911293336,2000
249,182575,-22.6436136541083,2000
250,182771,-92.76673179376156,196
251,182876,-92.92596496957023,105
252,184876,-30.167509972271418,2000
253,186876,-12.863770065497462,2000
254,186987,-114.07433160075023,111
255,188987,-12.849689969125743,2000
256,189141,-100.97851373722379,154
257,191141,-27.48694621649336,2000
258,191238,-92.46347639999082,97
259,193238,-12.719667862083577,2000
260,193348,-118.9856218097909,110
261,193494,-113.3928574341675,146
262,195494,-23.408881080441233,2000
263,197494,-30.422148628099038,2000
264,197562,-112.27317263465577,68
265,197639,-114.76930491673994,77
266,199639,-15.117437353320216,2000
267,199716,-111.61404643191443,77
268,201716,-18.251776600300726,2000
269,201826,-100.94737547292394,110
270,203826,-11.906691373833256,2000
271,205826,-29.897959925128166,2000
272,205957,-117.55948101607586,131
273,207957,-10.65162711065245,2000
274,209957,-9.02404864438285,2000
275,211957,-36.407719273073425,2000
276,213957,-14.489670095834423,2000
277,214113,-102.21258087976267,156
278,216113,-18.66404188186929,2000
279,218113,-9.31050913684261,2000
280,218188,-112.13779240487501,75
281,220188,-28.13600103860933,2000
282,222188,-22.991485048834253,2000
283,224188,-20.991881479545203,2000
284,226188,-8.668331809169274,2000
285,226293,-93.41732037171576,105
286,226421,-119.71872615337602,128
287,228421,-9.141931081816844,2000
288,230421,-27.759010728103103,2000
289,232421,-24.924400660220467,2000
290,234421,-18.068481249203252,2000
291,234537,-112.7313642530198,116
292,234603,-111.97318185201935,66
293,236603,-20.289403811799918,2000
294,238603,-44.78514482434062,2000
295,240603,-12.486678171078484,2000
296,240778,-101.91843733992481,175
297,242778,-17.850327380768295,2000
298,244778,-8.070291975954007,2000
299,246778,-25.79045978626484,2000
300,248778,-29.037343610337274,2000
301,248893,-119.11961904669604,115
302,250893,-13.7495705313657,2000
303,252893,-11.820536498242516,2000
304,252986,-116.77267497011596,93
305,254986,-18.814000530920932,2000
306,256986,-31.673771502830462,2000
307,258986,-17.938633209772647,2000
308,260986,-24.191279766544078,2000
309,262986,-25.10383058632432,2000
310,264986,-17.273117408715162,2000
311,266986,-24.182235523510823,2000
312,268986,-19.86549044795777,2000
313,270986,-17.892964807698814,2000
314,271054,-114.48822296707415,68
315,271135,-116.52940136296279,81
316,273135,-36.04857254402551,2000
317,275135,-9.974638222062225,2000
318,277135,-19.078829743743555,2000
319,277255,-118.22913343915988,120
320,279255,-24.329106208398017,2000
321,281255,-39.07995521868715,2000
322,283255,-15.70120051592863,2000
323,285255,-9.28852859797783,2000
324,287255,-55.03858028085477,2000
325,289255,-19.571020367758297,2000
326,291255,-28.534553610773436,2000
327,293255,-21.0099609526549,2000
328,295255,-13.881147043101896,2000
329,297255,-18.274969253350196,2000
330,299255,-1.9381893936274461,2000
331,299366,-93.28325512374082,111
332,301366,-21.40295134368819,2000
333,301479,-103.31669634483913,113
334,303479,-33.38681719056831,2000
335,303585,-118.82175684375963,106
336,303677,-94.54715500690315,92
337,305677,-10.676011999362283,2000
338,305743,-113.3146861148327,66
339,307743,-16.46558967232932,2000
340,309743,-16.643554648790403,2000
341,311743,-22.940285915179004,2000
342,313743,-10.760740357618987,2000
343,313869,-112.5184036648031,126
344,313940,-101.0039420997928,71
345,315940,-10.273372058346768,2000
346,317940,-36.02310735161615,2000
347,319940,-5.169156375283078,2000
348,321940,-26.519127642554967,2000
349,323940,-16.462146791739954,2000
350,325940,-21.344481581627544,2000
351,327940,-10.697447759202712,2000
352,329940,-24.358652566917726,2000
353,331940,-22.685020253756925,2000
354,333940,-22.458522948757565,2000
355,335940,-11.690655426429847,2000
356,337940,-18.578867218605954,2000
357,338040,-113.10767409730614,100
358,340040,-38.7298993087723,2000
359,342040,-18.27767825934756,2000
360,344040,-24.572107051098094,2000
361,346040,-12.3731695258591,2000
362,348040,-17.587876829864165,2000
363,350040,-27.202526421900693,2000
364,350173,-124.53348881660254,133
365,352173,-0.41862503837285725,2000
366,354173,-7.517667206872655,2000
