episode,timestep,reward,length
1,120,-91.95833577285521,120
2,236,-91.96650853357278,116
3,357,-91.85032479053675,121
4,479,-91.8698666865627,122
5,597,-91.80992221126021,118
6,715,-91.80547318700701,118
7,833,-92.06077978286582,118
8,948,-92.1032352008236,115
9,1071,-91.87343754565033,123
10,1188,-91.88808869042745,117
11,1304,-92.01467742817476,116
12,1421,-91.83572230658804,117
13,1535,-92.0763320447877,114
14,1651,-91.98492854367942,116
15,1771,-91.85962240157339,120
16,1890,-91.83736005960964,119
17,2007,-91.98401068360545,117
18,2129,-91.99533576106963,122
19,2251,-91.83121031996173,122
20,2368,-92.00844435649924,117
21,2488,-92.09534545304874,120
22,2610,-91.91691757606652,122
23,2730,-92.11917704336035,120
24,2847,-92.01542068629837,117
25,2969,-91.90051916831483,122
26,3083,-91.9784407169403,114
27,3206,-92.02993100330544,123
28,3325,-91.91983008695145,119
29,3444,-91.98696309956722,119
30,3566,-91.82090272187875,122
31,3689,-91.79256354039535,123
32,3811,-91.91648558092614,122
33,3928,-91.9498502400238,117
34,4048,-92.02719597091588,120
35,4169,-92.01868644387771,121
36,4285,-92.02311322512105,116
37,4402,-91.9791236736346,117
38,4522,-91.98991949654494,120
39,4638,-91.97285577965279,116
40,4757,-91.91647366108373,119
41,4879,-91.82069934260412,122
42,4996,-92.07332035060972,117
43,5112,-92.00317449254605,116
44,5227,-92.00906926548728,115
45,5350,-91.97275785783616,123
46,5467,-92.08515564530776,117
47,5589,-91.89498365484178,122
48,5710,-91.93798760068603,121
49,5823,-91.96371003993167,113
50,5943,-91.86234157532454,120
51,6092,-111.96805681453766,149
52,8092,-3.694769010595936,2000
53,10092,-23.709763123557916,2000
54,10215,-92.08803876571713,123
55,10344,-119.0049305441361,129
56,12344,-5.475468616222606,2000
57,14344,-21.602557156181295,2000
58,14440,-111.73473465206345,96
59,14547,-91.73771275328811,107
60,14686,-91.99813961814648,139
61,16686,-14.42467960871411,2000
62,18686,-15.69290467972041,2000
63,20686,-9.170643997451075,2000
64,22686,-13.037295508796946,2000
65,22837,-122.44811409657375,151
66,24837,-17.013420059773846,2000
67,26837,-16.09819290259612,2000
68,28837,-9.94474226178115,2000
69,30837,-7.6728745868048005,2000
70,32837,-18.048062845434167,2000
71,34837,-14.171787167333129,2000
72,36837,-8.689451145093079,2000
73,36959,-100.18542091762704,122
74,37071,-99.98528419565098,112
75,37265,-112.93512577461108,194
76,37400,-100.1409202869792,135
77,39400,-14.291165967540872,2000
78,41400,-12.957884212111368,2000
79,41534,-100.72881231173925,134
80,43534,-15.448458957434983,2000
81,43635,-112.15902827426349,101
82,45635,-11.49545904679646,2000
83,45760,-100.2879186509885,125
84,45860,-100.54958281910021,100
85,47860,-10.336771890202725,2000
86,47942,-111.70453744501752,82
87,49942,-18.44860056759112,2000
88,51942,-8.912871358897146,2000
89,53942,-17.463675441748613,2000
90,55942,-24.825570285571306,2000
91,57942,-8.418169991351139,2000
92,59942,-16.750618313823388,2000
93,61942,-15.282323627495742,2000
94,63942,-8.30097416018318,2000
95,65942,-7.3937125555043215,2000
96,67942,-14.120321143296978,2000
97,69942,-21.819221054000714,2000
98,70077,-100.04723107901023,135
99,72077,-8.698055207472134,2000
100,72162,-111.73988975676637,85
101,74162,-16.706522975499855,2000
102,76162,-7.428397677799105,2000
103,78162,-15.172244247120659,2000
104,78275,-112.10129297560316,113
105,80275,-6.722886446251472,2000
106,82275,-13.833724464713107,2000
107,84275,-4.660549336790422,2000
108,84376,-117.76837754007353,101
109,86376,-15.351684263878534,2000
110,86554,-112.89665180664936,178
111,88554,-6.006267745672148,2000
112,90554,-19.08548806928065,2000
113,90665,-91.67308428316566,111
114,90737,-111.39630145926044,72
115,90861,-99.75255296785544,124
116,90935,-111.35276238756514,74
117,91034,-112.15913755168954,99
118,91127,-111.86792360471458,93
119,91253,-91.44999550975123,126
120,91351,-111.67448737229557,98
121,93351,-10.15631141198616,2000
122,95351,-8.538083662366223,2000
123,97351,-27.79570183499315,2000
124,99351,-20.207791061932603,2000
125,101351,-5.0037010230326935,2000
126,103351,-6.715694518987287,2000
127,105351,-11.022137004184213,2000
128,107351,-7.466923320386819,2000
129,107441,-111.93345657650858,90
130,107574,-112.59042321041443,133
131,109574,-8.127395602143965,2000
132,109700,-112.62345697780567,126
133,109801,-100.41662532940708,101
134,111801,-16.38254236736791,2000
135,113801,-14.206148847949521,2000
136,115801,-12.649851387377849,2000
137,117801,-14.532741271530345,2000
138,117925,-91.7889201563085,124
139,118011,-111.67479074026261,86
140,120011,-15.622347705869915,2000
141,120111,-112.34442035322829,100
142,120259,-100.17130881739774,148
143,120381,-112.60687818834137,122
144,120496,-112.53785469715139,115
145,122496,-19.061354735392225,2000
146,122584,-111.63907999046411,88
147,122767,-98.76473231296681,183
148,124767,-17.630815024092023,2000
149,126767,-9.665478992734364,2000
150,126919,-112.53144665891178,152
151,128919,-17.610926518379884,2000
152,130919,-10.841407085632714,2000
153,132919,-8.881512204052516,2000
154,134919,-17.788123724050113,2000
155,136919,-16.275398769109504,2000
156,138919,-6.078674847813697,2000
157,140919,-11.30151905085018,2000
158,142919,-7.764806552980221,2000
159,143037,-121.15047863023693,118
160,143133,-111.69397393451199,96
161,145133,-16.977833534011552,2000
162,147133,-18.52132753710946,2000
163,149133,-8.999179967350404,2000
164,149245,-118.73604068515527,112
165,151245,-16.686604337750634,2000
166,151377,-92.95730131959395,132
167,153377,-26.927126826585763,2000
168,153541,-119.70564436425076,164
169,155541,-4.863059528485864,2000
170,157541,-17.188455513998502,2000
171,157659,-112.09524700834464,118
172,159659,-6.8229424353772705,2000
173,159746,-111.973840936377,87
174,161746,-14.488283766532021,2000
175,161925,-112.10933042181195,179
176,163925,-22.24101237149078,2000
177,165925,-22.500226178187297,2000
178,167925,-4.220089288709626,2000
179,169925,-13.7356521219964,2000
180,170031,-92.61884484268235,106
181,172031,-14.71193816426446,2000
182,174031,-14.969184365786818,2000
183,174122,-112.07765005910147,91
184,176122,-16.700047061937706,2000
185,178122,-10.953876258599903,2000
186,180122,-12.636691729911497,2000
187,180221,-118.4559482889837,99
188,182221,-18.70827906522914,2000
189,184221,-4.028702366456531,2000
190,186221,-5.389611475793455,2000
191,188221,-7.669086552635758,2000
192,190221,-9.47592453846786,2000
193,192221,-13.643720753147642,2000
194,194221,-23.91032850852456,2000
195,196221,-9.603831103628078,2000
196,196347,-100.04297864844452,126
197,198347,-14.639619372643994,2000
198,200347,-13.988846365331108,2000
199,202347,-11.70718608227459,2000
200,202437,-111.66898692303991,90
201,202536,-100.34789182208543,99
202,204536,-14.792441841706424,2000
203,204637,-100.22059230551267,101
204,206637,-16.337282182987533,2000
205,208637,-22.894181066108175,2000
206,210637,-14.162837154998984,2000
207,212637,-10.518435840461082,2000
208,214637,-20.2305340384954,2000
209,216637,-18.881884795673457,2000
210,218637,-8.121024132265477,2000
211,218777,-112.11658063423904,140
212,220777,-11.209363561638517,2000
213,222777,-18.19475668663924,2000
214,224777,-18.552834377723006,2000
215,224984,-112.94696188546975,207
216,225164,-99.67466360300278,180
217,227164,-15.088163842028395,2000
218,227255,-116.27966951558786,91
219,229255,-16.124398767051424,2000
220,231255,-6.72301905417695,2000
221,233255,-6.907197807507026,2000
222,235255,-16.222551091225117,2000
223,235363,-119.79716730562717,108
224,237363,-6.775072614705597,2000
225,239363,-12.726637790886764,2000
226,241363,-8.705064604656341,2000
227,243363,-17.93044014306393,2000
228,245363,-5.403515703238472,2000
229,245548,-119.50366147955218,185
230,247548,-16.23837627754699,2000
231,249548,-4.3714733991373365,2000
232,251548,-1.2959529344980536,2000
233,253548,-7.830035149307447,2000
234,253651,-118.6589649222803,103
235,253754,-92.24423607420371,103
236,255754,-20.197354918137677,2000
237,257754,-10.349344880897222,2000
238,259754,-22.065735549534093,2000
239,261754,-5.875691522553035,2000
240,263754,-8.368061434815148,2000
241,265754,-6.586889331001518,2000
242,267754,-2.4408871319210066,2000
243,269754,0.6624985448815908,2000
244,271754,-14.340580175508821,2000
245,273754,-3.8364267719742675,2000
246,275754,-10.075348931358986,2000
247,277754,-0.4269313196368315,2000
248,279754,-9.526471463711024,2000
249,281754,-4.363774986133582,2000
250,283754,-11.808660018489359,2000
251,285754,-3.34535503291076,2000
252,287754,-8.491026270050098,2000
253,289754,-3.482591686900411,2000
254,291754,-15.86821625439132,2000
255,293754,-24.711638877760663,2000
256,295754,-16.354298626191344,2000
257,297754,-17.09913666705371,2000
258,299754,-15.744150824550793,2000
259,301754,-25.307084385904925,2000
260,303754,-10.999901720280858,2000
261,305754,-16.622632368574603,2000
262,307754,-23.02331819612942,2000
263,309754,-2.4699724031319374,2000
264,311754,-16.701525854712767,2000
265,313754,-3.4445186762422693,2000
266,313948,-99.92782537738579,194
267,315948,-5.235882220964005,2000
268,317948,-6.691599633137186,2000
269,319948,-7.1499766792585815,2000
270,321948,-14.47921860052432,2000
271,322099,-99.54636046280822,151
272,324099,-4.875756735679001,2000
273,324164,-110.53785516250261,65
274,326164,-6.988910043131596,2000
275,328164,-7.81501873834184,2000
276,330164,-15.483454936118765,2000
277,332164,-7.469724777591804,2000
278,334164,-7.318481063350589,2000
279,334238,-111.42139091737127,74
280,336238,-9.829574483007281,2000
281,338238,-14.170524498555832,2000
282,338406,-112.46725020751104,168
283,340406,-10.772234888998426,2000
284,342406,-9.332856703641797,2000
285,344406,-2.6580383305409487,2000
286,346406,-8.056835369002714,2000
287,348406,-7.147919494458625,2000
288,350406,-19.134697002474255,2000
289,352406,-11.181012792698269,2000
290,354406,-9.284124172609985,2000
291,356406,-11.480278609655498,2000
292,356544,-93.4208882578551,138
293,358544,-25.446213440177512,2000
294,358690,-111.86921387629492,146
295,360690,-18.014145104785758,2000
296,362690,-9.8901293570487,2000
297,362861,-97.16465490803918,171
298,362976,-92.98569029953043,115
299,363067,-119.01461630669078,91
300,365067,0.6925141419152292,2000
301,365169,-111.76571658923407,102
302,367169,-9.548392911478954,2000
303,369169,0.4428084007525864,2000
304,371169,0.6871215846021921,2000
305,373169,1.1406229864230295,2000
306,373332,-112.12313986607919,163
307,375332,-14.763221431398016,2000
308,377332,-10.034061320006199,2000
309,379332,3.2528179549355096,2000
310,381332,1.3134612899674367,2000
311,381479,-112.50034091543228,147
312,383479,-10.786606723309797,2000
313,383576,-118.36093419132791,97
314,385576,-15.705077082985357,2000
315,387576,0.4032875647343941,2000
316,389576,4.338897179889369,2000
317,391576,-4.095701299263544,2000
318,393576,-1.7010342633466693,2000
319,395576,-13.122617919150011,2000
320,395700,-112.57985402908022,124
321,397700,1.377365164960813,2000
322,399700,-3.66254918340544,2000
323,401700,-12.599757773171799,2000
324,403700,2.239154021879528,2000
325,405700,-10.424023408567264,2000
326,407700,-13.660370996950045,2000
327,407805,-91.9190459041396,105
328,407983,-112.55668972928379,178
329,408110,-112.73312912205543,127
330,410110,-12.605515976535159,2000
331,412110,-7.007055477192917,2000
332,412245,-119.24065437018005,135
333,412330,-111.51102947283256,85
334,414330,-6.226755804880509,2000
335,416330,-11.896636982632922,2000
336,416471,-112.709071502167,141
337,418471,-9.376377249567305,2000
338,418584,-119.03191354680192,113
339,420584,-0.3789294945346589,2000
340,420677,-111.92506934742029,93
341,422677,-3.911705111749552,2000
342,424677,-10.653649179632632,2000
343,426677,-14.19016539235518,2000
344,428677,-19.959854953966225,2000
345,430677,-5.627509539362819,2000
346,430843,-112.99769446588013,166
347,430997,-112.51654014094748,154
348,432997,-13.776225407681105,2000
349,433114,-112.72210360499864,117
350,435114,-1.2497389291739507,2000
351,435223,-92.04634014316888,109
352,435324,-93.5373854938507,101
353,437324,-17.245099813021547,2000
354,439324,-18.144097815193444,2000
355,439451,-91.72174183813586,127
356,439557,-92.03888630750345,106
357,439662,-92.86230842728486,105
358,441662,-3.9549232605859816,2000
359,443662,-20.823127450472093,2000
360,443786,-99.72947347324647,124
361,443951,-118.57015255376793,165
362,445951,1.9288213631198579,2000
363,447951,1.066617380724583,2000
364,448066,-92.36384557715806,115
365,448176,-92.42133848518263,110
366,450176,4.211327894901059,2000
367,450274,-117.37068770011334,98
368,450376,-118.41858468877577,102
369,452376,-9.461192225445243,2000
370,452524,-92.03451428670144,148
371,454524,0.8419824383620613,2000
372,456524,2.3148677498348595,2000
373,458524,-10.838978653519469,2000
374,458635,-111.80129144050534,111
375,460635,2.1291495348828477,2000
376,460743,-112.05773451474575,108
377,460966,-115.192413383708,223
378,462966,0.9885198820092893,2000
379,464966,1.5884534823462935,2000
380,465073,-92.40431857953419,107
381,467073,-0.6841259914514802,2000
382,467201,-92.03945530786923,128
383,469201,-2.224212566661799,2000
384,471201,-12.579179044479632,2000
385,471439,-113.09597465501164,238
386,471590,-99.68029717358621,151
387,473590,-14.693799268704849,2000
388,475590,-15.971015788528259,2000
389,477590,-11.545240487580825,2000
390,479590,-15.058135903690252,2000
391,481590,-15.740086358091464,2000
392,483590,-12.1320017396434,2000
393,485590,-10.501772479417127,2000
394,487590,-14.93245865641724,2000
395,489590,-9.339384970585165,2000
396,489663,-111.01996147330581,73
397,489847,-98.91735517642907,184
398,489931,-112.47714232842442,84
399,491931,-5.733682337369547,2000
400,492072,-112.70241040651815,141
401,494072,-8.455254265457915,2000
402,494174,-112.56548151988616,102
403,496174,-5.576821466266886,2000
404,498174,-14.05242131335214,2000
405,500174,1.5608159639484054,2000
406,502174,-11.008068223656405,2000
407,504174,-15.121090310589317,2000
408,506174,-6.511902479295636,2000
409,508174,-7.5530797368572715,2000
410,508439,-99.67330251330526,265
411,510439,-23.315836623556603,2000
412,510518,-94.02765321816753,79
413,512518,-7.875230062078206,2000
414,514518,-4.859350085266052,2000
415,516518,1.253608239141289,2000
416,516603,-113.90404297238513,85
417,518603,-5.324213587290824,2000
418,520603,-20.76251268159591,2000
419,522603,-15.999818347827274,2000
420,524603,-7.260270704934266,2000
421,524720,-92.35028969628995,117
422,526720,2.3587612286062227,2000
423,528720,0.8009328783649374,2000
424,530720,0.749878306164239,2000
425,532720,3.287224293460632,2000
426,532893,-97.57912627336874,173
427,533015,-92.41722127998558,122
428,535015,1.8801919585039661,2000
429,537015,2.7376169953781893,2000
430,539015,-9.982622574906943,2000
431,541015,0.42809749713684814,2000
432,541152,-118.20958692239898,137
433,543152,-5.115714867741732,2000
434,545152,0.11575080287044094,2000
435,547152,2.6783804523778314,2000
436,549152,2.3426351950360265,2000
437,551152,-1.6361107455777453,2000
438,553152,-0.18546516627546092,2000
439,555152,1.0735991144366057,2000
440,557152,-3.382695392270583,2000
441,557290,-118.98419629010827,138
442,559290,-1.0181499798913076,2000
443,561290,-0.3864488510944622,2000
444,563290,2.1412488648685835,2000
445,565290,-9.624289055618886,2000
446,567290,-4.926359967836075,2000
447,567502,-113.94609059056495,212
448,569502,-8.478584194304254,2000
449,571502,-11.072000503602851,2000
450,573502,-19.918765730660013,2000
451,575502,-8.2246707034552,2000
452,577502,-6.96237445822525,2000
453,579502,-4.500143018998445,2000
454,581502,-16.2363048461934,2000
455,581596,-118.3273346372263,94
456,583596,-9.779691989609844,2000
457,583713,-92.64270178974556,117
458,585713,-6.445291532805957,2000
459,587713,-7.3172218715289805,2000
460,589713,-0.9196961514893026,2000
461,591713,-11.49391906635484,2000
462,591837,-112.46804056137032,124
463,593837,-2.7123649049946144,2000
464,593943,-112.22616860982177,106
465,594062,-112.21152500195876,119
466,596062,0.1012245847968177,2000
467,598062,-5.52825625656266,2000
468,598184,-112.64733619015001,122
469,598476,-119.30088636327022,292
470,600476,-13.846877099419164,2000
471,602476,-13.929436135569642,2000
472,604476,-15.743959598733932,2000
473,606476,-3.440445893714277,2000
474,608476,-15.48668827125805,2000
475,610476,-9.742733543877005,2000
476,610607,-112.44876774517215,131
477,612607,-0.7147371025898702,2000
478,612755,-100.86926520875649,148
479,614755,-3.809667408609061,2000
480,614879,-92.65258425569618,124
481,614997,-91.67891444253328,118
482,616997,-8.590952046429528,2000
483,617152,-92.0623572198067,155
484,619152,-10.778813699070971,2000
485,621152,0.4588082070193658,2000
486,621247,-119.37823311155576,95
487,621368,-92.46181162538726,121
488,623368,5.165674676445995,2000
489,623589,-119.62474709200413,221
490,625589,-1.5722008523109057,2000
491,625787,-97.9295527119227,198
492,627787,2.962943309924077,2000
493,629787,1.4916635995203373,2000
494,631787,2.4296637438023727,2000
495,633787,1.2360613921804704,2000
496,635787,4.671368466676405,2000
497,637787,2.1636201136381663,2000
498,639787,2.190876097723944,2000
499,641787,2.447551246524731,2000
500,643787,2.827687903960465,2000
501,645787,3.4014086995150508,2000
502,645921,-117.59762814975045,134
503,647921,-0.04210076982608674,2000
504,649921,1.7055486501974042,2000
505,651921,-2.7076049135155777,2000
506,653921,-18.60351978199022,2000
507,655921,-10.34095880508396,2000
508,656072,-119.16162415977068,151
509,658072,-13.649946938492706,2000
510,658283,-99.60240499523066,211
