episode,timestep,reward,length
1,63,-110.62984303986595,63
2,165,-92.81572610717303,102
3,2165,-16.76202246255478,2000
4,2289,-91.86886412569085,124
5,2407,-100.17677430916449,118
6,4407,-2.365036540009481,2000
7,4541,-91.51855283861121,134
8,4664,-92.61024897856242,123
9,6664,-15.906976094932462,2000
10,6769,-92.60147497787415,105
11,6871,-92.56267055484429,102
12,6984,-91.94278185527946,113
13,7180,-112.3453929991307,196
14,7372,-100.23459967129482,192
15,7463,-92.58304731712994,91
16,7574,-91.77404363986219,111
17,7685,-91.99283842753356,111
18,7811,-99.49467347801685,126
19,7913,-92.57047927478796,102
20,8023,-99.85552129678804,110
21,10023,-26.578867254227884,2000
22,10093,-111.46677865682491,70
23,12093,-16.93961453506558,2000
24,12184,-112.16085020719706,91
25,14184,-12.817754742678808,2000
26,14288,-91.99878081373008,104
27,14407,-92.16930725808882,119
28,14506,-92.51160313530337,99
29,14608,-92.04702512139009,102
30,14682,-111.40197146344687,74
31,14766,-93.10472156538812,84
32,14829,-110.66493813748527,63
33,14967,-112.17105697534916,138
34,16967,-4.93748895309598,2000
35,17077,-92.41922318135855,110
36,17151,-111.45365073106551,74
37,19151,-9.907921537782967,2000
38,21151,-12.757084984127822,2000
39,23151,-5.422528926452942,2000
40,23265,-91.76161806790982,114
41,25265,-13.125895106441677,2000
42,25332,-110.40533122449717,67
43,25438,-93.06555995122748,106
44,25541,-92.18762451532957,103
45,25709,-99.75413369174308,168
46,25815,-91.69911791510467,106
47,25945,-91.98126950042091,130
48,26050,-92.82366282277809,105
49,28050,-20.421123342564393,2000
50,30050,-10.600950934843357,2000
51,30154,-92.61545072662499,104
52,30219,-110.84380405164906,65
53,30344,-92.16023800213311,125
54,32344,-17.07898542110066,2000
55,32444,-92.79084526893695,100
56,32582,-112.91588036595446,138
57,32711,-99.7219008949524,129
58,32779,-110.85693833992227,68
59,32844,-110.86002374983798,65
60,32945,-92.38178748552107,101
61,33072,-112.33228975634653,127
62,33177,-92.56261756535702,105
63,33375,-93.11843316965768,198
64,35375,-20.652989724574667,2000
65,35480,-111.40916591141831,105
66,35633,-93.26659094405449,153
67,37633,-2.336120247926417,2000
68,39633,-15.073484068515231,2000
69,41633,-15.794002978801277,2000
70,43633,-16.58521597529178,2000
71,45633,-8.562054129896024,2000
72,45772,-112.97863727416139,139
73,45852,-111.37840769555787,80
74,45964,-92.43671360067822,112
75,46028,-110.51657578924568,64
76,46158,-91.91800869112042,130
77,48158,-8.962560046259695,2000
78,48291,-92.52245128332481,133
79,48394,-92.49590899765863,103
80,50394,-14.173924223444043,2000
81,50551,-100.91554608935226,157
82,50686,-100.09084026638364,135
83,50802,-92.57188797171594,116
84,50957,-99.93466454119893,155
85,51026,-111.1015748633214,69
86,53026,-4.001017746972281,2000
87,53185,-91.33158455623514,159
88,53254,-110.98726404859549,69
89,53484,-122.4774927413348,230
90,53608,-118.67842946941238,124
91,53683,-111.51286730311722,75
92,53843,-92.44804596045381,160
93,55843,-16.636428983765462,2000
94,55941,-112.39112105175222,98
