episode,wall_time_s,cpu_time_s,ram_mb,cpu_pct
1,0.013953924179077148,0.013961000000000001,162.546875,100.1
2,0.026211023330688477,0.026217999999999964,162.6875,100.0
3,0.03432297706604004,0.03432899999999994,162.734375,100.0
4,0.17763900756835938,0.17764499999999994,162.75,100.0
5,0.1877610683441162,0.18775799999999998,162.75,99.9
6,0.1940610408782959,0.19405799999999995,162.796875,100.0
7,0.20295286178588867,0.20294999999999996,162.828125,100.0
8,0.3259141445159912,0.3259099999999999,162.828125,100.0
9,0.47993016242980957,0.47992099999999993,162.828125,100.0
10,0.4888920783996582,0.4888819999999999,162.828125,100.0
11,0.4959690570831299,0.4959589999999999,162.828125,100.0
12,0.505079984664917,0.50507,162.84375,100.0
13,0.5140149593353271,0.5140049999999999,162.859375,100.0
14,0.5228128433227539,0.522803,162.875,100.0
15,0.529181957244873,0.5291719999999999,162.890625,100.0
16,0.5367329120635986,0.536723,162.890625,100.0
17,0.6673839092254639,0.6673679999999999,162.890625,100.0
18,0.6910209655761719,0.692252,167.625,105.3
19,0.6996669769287109,0.700899,167.765625,100.0
20,0.7083609104156494,0.709591,167.765625,100.0
21,0.7186040878295898,0.7198349999999999,167.796875,100.0
22,0.7274999618530273,0.72873,167.796875,100.0
23,0.7359800338745117,0.737211,167.796875,100.0
24,0.7465147972106934,0.7477459999999999,167.796875,100.0
25,0.7549481391906738,0.756179,167.796875,100.0
26,0.9279501438140869,0.92918,167.828125,100.0
27,1.050307035446167,1.051526,167.9375,100.0
28,1.0582470893859863,1.0594670000000002,168.15625,100.0
29,1.0665600299835205,1.0677789999999998,168.203125,100.0
30,1.0786690711975098,1.079888,168.21875,100.0
31,1.0932700634002686,1.0944889999999998,168.21875,100.0
32,1.1030158996582031,1.1042359999999998,168.21875,100.0
33,1.1139609813690186,1.115182,168.21875,100.0
34,1.1197340488433838,1.1209539999999998,168.21875,100.0
35,1.276900053024292,1.2794379999999999,176.359375,100.8
36,1.400987148284912,1.4035189999999997,176.671875,100.0
37,1.4067168235778809,1.409249,176.671875,99.9
38,1.4183862209320068,1.4209169999999998,176.6875,100.0
39,1.4240901470184326,1.426621,176.6875,100.0
40,1.4324090480804443,1.43494,176.6875,100.0
41,1.4401230812072754,1.442654,176.703125,100.0
42,1.448530912399292,1.4510619999999999,176.703125,100.0
43,1.4564101696014404,1.4589410000000003,176.703125,100.0
44,1.594620943069458,1.5943200000000002,176.734375,98.0
45,1.60361909866333,1.6033180000000002,176.8125,100.0
46,1.612591028213501,1.612289,176.84375,100.0
47,1.620258092880249,1.6199560000000002,176.84375,100.0
48,1.7801640033721924,1.7798630000000002,176.84375,100.0
49,1.7902209758758545,1.7899190000000003,176.90625,100.0
50,1.799124002456665,1.7988210000000002,176.90625,100.0
51,1.8176281452178955,1.817326,176.90625,100.0
52,1.9004878997802734,1.903098,209.78125,103.5
53,1.9094760417938232,1.9120850000000003,209.796875,100.0
54,2.0372300148010254,2.039839,209.796875,100.0
55,2.1934587955474854,2.19319,209.796875,98.2
56,2.2018439769744873,2.201575,209.796875,100.0
57,2.2085390090942383,2.208271,209.796875,100.0
58,2.358994960784912,2.358728,209.8125,100.0
59,2.5062131881713867,2.505939,209.828125,100.0
60,2.5153231620788574,2.515042,209.875,99.9
61,2.6384530067443848,2.6381550000000002,209.875,100.0
62,2.646726131439209,2.6464280000000002,209.875,100.0
63,2.653599977493286,2.653302,209.875,100.0
64,2.6639389991760254,2.663633,209.875,99.9
65,2.6773109436035156,2.677005,209.875,100.0
66,2.7959439754486084,2.795637,209.90625,100.0
67,2.8045361042022705,2.804229,209.90625,100.0
68,2.958483934402466,2.958141,209.921875,100.0
69,2.990708827972412,2.991551,213.375,103.7
70,2.9983739852905273,2.999216,213.421875,100.0
71,3.00376296043396,3.004605,213.421875,100.0
72,3.0183019638061523,3.0191440000000003,213.421875,100.0
73,3.1394731998443604,3.140315,213.421875,100.0
74,3.14884090423584,3.149686,213.421875,100.0
75,3.271944999694824,3.272541,213.421875,99.8
76,3.2800490856170654,3.280644,213.421875,100.0
77,3.289910078048706,3.290506,213.421875,100.0
78,3.4113998413085938,3.411985,213.4375,100.0
79,3.5360939502716064,3.5366790000000004,213.4375,100.0
80,3.658953905105591,3.6595329999999997,213.4375,100.0
81,3.6656899452209473,3.6662679999999996,213.4375,100.0
82,3.67242693901062,3.673005,213.4375,100.0
83,3.6803698539733887,3.680948,213.4375,100.0
84,3.8039968013763428,3.804576,213.4375,100.0
85,3.923046112060547,3.9236240000000002,213.4375,100.0
86,3.9434940814971924,3.945298,214.015625,106.0
87,3.952883005142212,3.9546859999999997,214.03125,100.0
88,3.961880922317505,3.9636839999999998,214.03125,100.0
89,4.085191965103149,4.086996,214.03125,100.0
90,4.0921149253845215,4.093919,214.03125,100.0
91,4.100273132324219,4.102076,214.046875,100.0
92,4.2215001583099365,4.223305,214.046875,100.0
93,4.34285306930542,4.344647,214.046875,100.0
94,4.351345777511597,4.35314,214.0625,100.0
95,4.520909070968628,4.522704,214.0625,100.0
96,4.529762029647827,4.531556,214.0625,100.0
97,4.5400919914245605,4.541887,214.0625,100.0
98,4.548903942108154,4.550699,214.0625,100.0
99,4.557884216308594,4.559678,214.0625,100.0
100,4.567425012588501,4.569219,214.0625,100.0
101,4.573008060455322,4.574803,214.0625,100.0
102,4.698639154434204,4.700416,214.078125,100.0
103,4.7833991050720215,4.78903,236.359375,104.6
104,4.794411897659302,4.800043,236.375,100.0
105,4.80471396446228,4.810345,236.375,100.0
106,4.811720848083496,4.817353,236.375,100.0
107,4.950440883636475,4.9560640000000005,236.375,100.0
108,4.959053039550781,4.964678,236.375,100.0
109,4.9650559425354,4.970683,236.375,100.0
110,5.0882768630981445,5.093923,236.375,100.0
111,5.218608140945435,5.224253,236.390625,100.0
112,5.350834846496582,5.356473,236.390625,100.0
113,5.360486030578613,5.366125,236.390625,100.0
114,5.370028972625732,5.375668,236.390625,100.0
115,5.377405881881714,5.383044,236.390625,100.0
116,5.387570858001709,5.393209,236.390625,100.0
117,5.558636903762817,5.564234,236.390625,100.0
118,5.6772379875183105,5.682835,236.390625,100.0
119,5.691246032714844,5.696842,236.390625,100.0
120,5.828484058380127,5.835094,236.859375,100.7
121,5.951840877532959,5.95845,236.890625,100.0
122,6.074599981307983,6.081197,236.890625,100.0
123,6.198287010192871,6.204872,236.890625,100.0
124,6.207111120223999,6.213695,236.890625,100.0
125,6.216245889663696,6.222829,236.890625,100.0
126,6.222908020019531,6.2294920000000005,236.890625,100.0
127,6.349276065826416,6.35586,236.890625,100.0
128,6.356580972671509,6.363165,236.890625,100.0
129,6.363751173019409,6.370335,236.890625,100.0
130,6.370882987976074,6.377467,236.890625,100.0
131,6.494760990142822,6.501324,236.890625,100.0
132,6.505156993865967,6.511719,236.890625,100.0
133,6.518188953399658,6.524751,236.890625,100.0
134,6.527435064315796,6.533997,236.890625,100.0
135,6.651901960372925,6.658454,236.890625,100.0
136,6.6584179401397705,6.66497,236.90625,100.0
137,6.807004928588867,6.8150640000000005,237.109375,101.0
138,6.938720941543579,6.94678,237.109375,100.0
139,7.065468072891235,7.07352,237.125,100.0
140,7.186520099639893,7.194573,237.125,100.0
141,7.310268878936768,7.318323,237.125,100.0
142,7.3192970752716064,7.32735,237.125,100.0
143,7.326879978179932,7.334932,237.125,100.0
144,7.336256980895996,7.34431,237.125,100.0
145,7.343997955322266,7.35205,237.125,100.0
146,7.461233139038086,7.469278999999999,237.125,100.0
147,7.4673779010772705,7.475423,237.125,99.9
148,7.594358921051025,7.602404000000001,237.125,100.0
149,7.60022497177124,7.608270999999999,237.125,99.9
150,7.60870099067688,7.616745000000001,237.125,100.0
151,7.617401123046875,7.625445999999999,237.125,100.0
152,7.62620997428894,7.6342550000000005,237.125,100.0
153,7.633969783782959,7.642015,237.125,100.0
154,7.881717920303345,7.892962,255.40625,101.3
