episode,timestep,reward,length
1,1000,-319.53436,1000
2,2000,-313.4599,1000
3,3000,-275.8213,1000
4,4000,-399.04584,1000
5,5000,-305.73657,1000
6,6000,-127.55633,1000
7,7000,-382.99182,1000
8,8000,-368.46008,1000
9,9000,-195.644,1000
10,10000,-414.88937,1000
11,11000,-334.05753,1000
12,12000,-209.2732,1000
13,13000,-265.75708,1000
14,14000,-311.32364,1000
15,15000,-293.59415,1000
16,16000,-300.88272,1000
17,17000,-296.38858,1000
18,18000,-208.5458,1000
19,19000,-328.53812,1000
20,20000,-350.28024,1000
21,21000,-323.35434,1000
22,22000,-307.17563,1000
23,23000,-255.16702,1000
24,24000,-298.3162,1000
25,25000,-250.29413,1000
26,26000,-314.15976,1000
27,27000,-266.597,1000
28,28000,-208.07358,1000
29,29000,-201.5885,1000
30,30000,-303.77078,1000
31,31000,-265.45535,1000
32,32000,-350.75504,1000
33,33000,-256.70398,1000
34,34000,-328.4817,1000
35,35000,-501.67294,1000
36,36000,-317.36365,1000
37,37000,-343.34113,1000
38,38000,-196.73526,1000
39,39000,-175.51993,1000
40,40000,-331.7805,1000
41,41000,-297.65384,1000
42,42000,-326.21555,1000
43,43000,-227.8531,1000
44,44000,-301.7853,1000
45,45000,-259.4418,1000
46,46000,-281.971,1000
47,47000,-307.3734,1000
48,48000,-317.91022,1000
49,49000,-415.88046,1000
50,50000,-294.9872,1000
51,51000,-352.78458,1000
52,52000,-320.2723,1000
53,53000,-329.55157,1000
54,54000,-219.9456,1000
55,55000,-316.1926,1000
56,56000,-302.30762,1000
57,57000,-296.28625,1000
58,58000,-237.19586,1000
59,59000,-301.92056,1000
60,60000,-220.23912,1000
61,61000,-282.2825,1000
62,62000,-145.62364,1000
63,63000,-286.59833,1000
64,64000,-288.04883,1000
65,65000,-266.357,1000
66,66000,-128.52051,1000
67,67000,-161.1048,1000
68,68000,-308.6039,1000
69,69000,-285.53876,1000
70,70000,-185.32585,1000
71,71000,-193.24814,1000
72,72000,-309.38626,1000
73,73000,-253.75266,1000
74,74000,-211.30563,1000
75,75000,-214.91905,1000
76,76000,-146.42519,1000
77,77000,-224.41513,1000
78,78000,-347.32327,1000
79,79000,-244.33025,1000
80,80000,-219.61101,1000
81,81000,-233.93398,1000
82,82000,-221.68282,1000
83,83000,-189.37155,1000
84,84000,-305.9874,1000
85,85000,-234.24998,1000
86,86000,-279.92874,1000
87,87000,-164.49533,1000
88,88000,-255.16513,1000
89,89000,-165.14531,1000
90,90000,-183.14876,1000
91,91000,-192.97287,1000
92,92000,-253.29556,1000
93,93000,-112.99537,1000
94,94000,-124.98503,1000
95,95000,-248.42935,1000
96,96000,-190.76234,1000
97,97000,-137.16689,1000
98,98000,-177.57991,1000
99,99000,-71.609955,1000
100,100000,-233.8812,1000
101,101000,-137.70905,1000
102,102000,-126.91902,1000
103,103000,-210.21635,1000
104,104000,-117.99719,1000
105,105000,-212.08777,1000
106,106000,-151.23035,1000
107,107000,-140.0487,1000
108,108000,-143.74265,1000
109,109000,16.476763,1000
110,110000,-159.33374,1000
111,111000,-115.46852,1000
112,112000,-171.46298,1000
113,113000,-112.71823,1000
114,114000,-69.99208,1000
115,115000,-47.03827,1000
116,116000,-139.90712,1000
117,117000,-82.16111,1000
118,118000,-81.43251,1000
119,119000,-145.8516,1000
120,120000,-124.125916,1000
121,121000,-107.22142,1000
122,122000,-23.879925,1000
123,123000,-160.66963,1000
124,124000,-40.176086,1000
125,125000,-90.83334,1000
126,126000,-239.49945,1000
127,127000,-150.63014,1000
128,128000,-13.829812,1000
129,129000,-163.95738,1000
130,130000,-71.635155,1000
131,131000,-0.77372676,1000
132,132000,-6.00655,1000
133,133000,32.719555,1000
134,134000,-45.87592,1000
135,135000,-76.598785,1000
136,136000,-40.388515,1000
137,137000,84.48732,1000
138,138000,89.29599,1000
139,139000,-147.85832,1000
140,140000,128.0875,1000
141,141000,-184.86052,1000
142,142000,34.94642,1000
143,143000,-44.694706,1000
144,144000,19.254992,1000
145,145000,30.160936,1000
146,146000,12.168734,1000
147,147000,-25.70592,1000
148,148000,-66.783775,1000
149,149000,-104.22348,1000
150,150000,65.82275,1000
151,151000,-37.563904,1000
152,152000,141.66779,1000
153,153000,22.58005,1000
154,154000,202.19936,1000
155,155000,-6.600782,1000
156,156000,17.865799,1000
157,157000,40.277916,1000
158,158000,92.30652,1000
159,159000,62.933945,1000
160,160000,-50.555504,1000
161,161000,170.2123,1000
162,162000,57.872772,1000
163,163000,78.308624,1000
164,164000,56.805264,1000
165,165000,-0.5120003,1000
166,166000,-191.70047,1000
167,167000,-6.0397205,1000
168,168000,-22.764135,1000
169,169000,7.7950087,1000
170,170000,115.08511,1000
171,171000,-112.52188,1000
172,172000,161.40228,1000
173,173000,-69.96541,1000
174,174000,146.39967,1000
175,175000,223.24861,1000
176,176000,-84.38265,1000
177,177000,235.06076,1000
178,178000,202.76505,1000
179,179000,120.38272,1000
180,180000,205.17162,1000
181,181000,148.16019,1000
182,182000,197.07156,1000
183,183000,81.834366,1000
184,184000,9.142033,1000
185,185000,-194.14267,1000
186,186000,-151.6602,1000
187,187000,159.27791,1000
188,188000,118.97841,1000
189,189000,97.28186,1000
190,190000,10.158778,1000
191,191000,217.33955,1000
192,192000,84.42931,1000
193,193000,271.5335,1000
194,194000,254.29259,1000
195,195000,141.54988,1000
196,196000,129.80745,1000
197,197000,135.42873,1000
198,198000,218.47565,1000
199,199000,257.67392,1000
200,200000,179.06718,1000
201,201000,287.84818,1000
202,202000,234.69475,1000
203,203000,288.26865,1000
204,204000,28.485027,1000
205,205000,199.6812,1000
206,206000,79.11469,1000
207,207000,-26.04091,1000
208,208000,186.22748,1000
209,209000,171.03555,1000
210,210000,134.69707,1000
211,211000,200.89262,1000
212,212000,198.9073,1000
213,213000,139.66992,1000
214,214000,262.98013,1000
215,215000,330.28506,1000
216,216000,272.58633,1000
217,217000,322.9241,1000
218,218000,282.6959,1000
219,219000,382.83755,1000
220,220000,261.8752,1000
221,221000,182.42085,1000
222,222000,-119.307945,1000
223,223000,154.11894,1000
224,224000,311.29346,1000
225,225000,95.7574,1000
226,226000,381.69302,1000
227,227000,269.33743,1000
228,228000,312.04443,1000
229,229000,363.72357,1000
230,230000,69.09338,1000
231,231000,226.99908,1000
232,232000,199.81712,1000
233,233000,294.43433,1000
234,234000,112.20844,1000
235,235000,292.71146,1000
236,236000,-154.6318,1000
237,237000,76.547165,1000
238,238000,361.6499,1000
239,239000,136.7208,1000
240,240000,278.97134,1000
241,241000,419.22986,1000
242,242000,345.8029,1000
243,243000,6.154046,1000
244,244000,502.48193,1000
245,245000,268.62872,1000
246,246000,355.0141,1000
247,247000,469.36185,1000
248,248000,459.29938,1000
249,249000,390.29034,1000
250,250000,303.57642,1000
251,251000,-15.8623495,1000
252,252000,260.64056,1000
