episode,timestep,reward,length
1,1000,-2.201607087652725,1000
2,2000,-1.8291519654598027,1000
3,3000,-2.114232040911947,1000
4,4000,-2.2475533749380965,1000
5,5000,-3.14731468386406,1000
6,6000,-3.113075016614966,1000
7,7000,-3.6357980310638323,1000
8,8000,-3.4821134794885644,1000
9,9000,-0.7620838876129442,1000
10,10000,-1.6528062291205483,1000
11,11000,-2.303747142435818,1000
12,12000,-0.9830295122169657,1000
13,13000,-1.2392866429574507,1000
14,14000,-2.4691165215999393,1000
15,15000,-2.5091102710627604,1000
16,16000,-0.4363900159712532,1000
17,17000,-2.159269485105796,1000
18,18000,-1.7933663149981123,1000
19,19000,-4.182923554991265,1000
20,20000,-3.34521037085965,1000
21,21000,-0.634616541362534,1000
22,22000,-1.9418222920206867,1000
23,23000,-1.5373322859067773,1000
24,24000,-2.5334871409433224,1000
25,25000,-2.308789131954775,1000
26,26000,-0.5238078190469213,1000
27,27000,-5.223430760500211,1000
28,28000,-1.194486306295609,1000
29,29000,-2.563861334517293,1000
30,30000,-1.3172631836575797,1000
31,31000,-1.7953347641285125,1000
32,32000,-0.6770179759503026,1000
33,33000,0.7139697026106628,1000
34,34000,-2.0093657176387696,1000
35,35000,-2.4650953940642073,1000
36,36000,-2.2852503971216502,1000
37,37000,-2.034746162961708,1000
38,38000,-5.170913830203235,1000
39,39000,-1.8981114662041447,1000
40,40000,-0.9000578086201023,1000
41,41000,-1.36257164721442,1000
42,42000,-1.080071483104313,1000
43,43000,-1.6471094164861484,1000
44,44000,-0.9928946476095258,1000
45,45000,-4.057875344368054,1000
46,46000,-2.814606682205362,1000
47,47000,-1.057831597453589,1000
48,48000,-0.8872750778980226,1000
49,49000,-2.7054346127384936,1000
50,50000,-3.724377478369314,1000
51,51000,-3.19702689182369,1000
52,52000,-2.179618665102511,1000
53,53000,-3.011137877437433,1000
54,54000,-1.2067082344920368,1000
55,55000,-1.2838041440421908,1000
56,56000,-1.453046724310768,1000
57,57000,-1.6705610844433092,1000
58,58000,-1.6905931041817466,1000
59,59000,-1.3897698886000214,1000
60,60000,-1.4564440194285506,1000
61,61000,-2.8354769749784787,1000
62,62000,-1.1653191158817249,1000
63,63000,-1.831643226366677,1000
64,64000,-1.864771438245859,1000
65,65000,-6.243660226591233,1000
66,66000,-1.5160768081088143,1000
67,67000,-0.7305004581649841,1000
68,68000,-2.4274112011517324,1000
69,69000,-3.126794213211739,1000
70,70000,-0.9605153325760584,1000
71,71000,-2.0363235305168237,1000
72,72000,-0.48232263787582697,1000
73,73000,-3.7417491530091067,1000
74,74000,-2.093079686560813,1000
75,75000,-2.603742190137365,1000
76,76000,-0.7564450858031807,1000
77,77000,-2.0097664191408544,1000
78,78000,-0.505540747613493,1000
79,79000,-5.956114452477989,1000
80,80000,-1.3260122844964908,1000
81,81000,-3.523104484737264,1000
82,82000,-1.4890677397545329,1000
83,83000,-3.6307597532161027,1000
84,84000,-1.2792446967044275,1000
85,85000,-1.7681741172116587,1000
86,86000,-0.1111620851772403,1000
87,87000,-1.9196696898797787,1000
88,88000,-1.758853507824185,1000
89,89000,-1.008994345769591,1000
90,90000,-1.4636146795177807,1000
91,91000,-2.977280543990991,1000
92,92000,-1.0598878752733667,1000
93,93000,-2.7628756100405676,1000
94,94000,-2.401316369896842,1000
95,95000,-2.290864404108427,1000
96,96000,-3.9857981343572555,1000
97,97000,-0.952601687466451,1000
98,98000,-0.17374428197957317,1000
99,99000,-0.48022986580465105,1000
100,100000,-0.25971922245073087,1000
101,101000,-1.6860561054385645,1000
102,102000,-2.7289421046631337,1000
103,103000,-1.347246042054504,1000
104,104000,-2.138143782362271,1000
105,105000,-1.8370539422091583,1000
106,106000,-1.5607020460623726,1000
107,107000,-1.629314675188122,1000
108,108000,-1.171457744143581,1000
109,109000,-0.36082142677154505,1000
110,110000,-6.071154467061896,1000
111,111000,-2.4209573423724957,1000
112,112000,-4.029954068050565,1000
113,113000,-1.255343925164628,1000
114,114000,-0.851089340358316,1000
115,115000,-4.0013822252772115,1000
116,116000,-0.5597216468975,1000
117,117000,-1.1061999626600687,1000
118,118000,-2.716040335597412,1000
119,119000,-2.6941486503370022,1000
120,120000,-2.047990136944176,1000
121,121000,-0.24256405147654098,1000
122,122000,-2.4385703896229085,1000
123,123000,-0.032218803727060735,1000
124,124000,-1.6858892659591724,1000
125,125000,-1.4402266324209536,1000
126,126000,-1.5453427357493128,1000
127,127000,-3.6638091388550573,1000
128,128000,-1.5386728127394433,1000
129,129000,-5.786490793692852,1000
130,130000,-0.7907122834082969,1000
131,131000,-0.5160737807240269,1000
132,132000,-1.7249929443447183,1000
133,133000,-0.9437435309309286,1000
134,134000,-0.8734558825552039,1000
135,135000,-1.2506629519614998,1000
136,136000,-2.87883930966847,1000
137,137000,-0.6647058430203092,1000
138,138000,-1.4119459572607578,1000
139,139000,-2.8510655419651427,1000
140,140000,-1.9615110844666608,1000
141,141000,-1.7077074292983303,1000
142,142000,0.1469846760619381,1000
143,143000,-1.3165123275566715,1000
144,144000,-3.4592151840387464,1000
145,145000,-1.0687144000923663,1000
146,146000,-1.641488537089041,1000
147,147000,-2.7613237373340063,1000
148,148000,-1.559247453189536,1000
149,149000,-5.316884106937002,1000
150,150000,-1.8111957784666157,1000
151,151000,-6.327761105527528,1000
152,152000,-1.8366104100216798,1000
153,153000,-2.017171116137503,1000
154,154000,-3.1943952204559314,1000
155,155000,-2.573770904369029,1000
156,156000,-0.38858013848740647,1000
157,157000,0.49764813206328484,1000
158,158000,-3.030454752024476,1000
159,159000,-1.8460572512337075,1000
160,160000,-4.21757705119599,1000
161,161000,-1.9393672308358576,1000
162,162000,-2.334827616893705,1000
163,163000,-1.1608543856442186,1000
164,164000,-1.8217908570982135,1000
165,165000,-0.7774645781803134,1000
166,166000,-2.3767376870995247,1000
167,167000,-1.932763232136767,1000
168,168000,-2.168394994242034,1000
169,169000,-2.3176850782898786,1000
170,170000,-0.9743267047824913,1000
171,171000,-0.21039889668586284,1000
172,172000,-2.7135490773315127,1000
173,173000,-0.11822510365372559,1000
174,174000,-0.2447368833565783,1000
175,175000,-3.0666394951751887,1000
176,176000,-0.05561889914062235,1000
177,177000,-1.6539126230588919,1000
178,178000,-2.3725556311959592,1000
179,179000,-0.7351365453546892,1000
180,180000,-1.6960034460531896,1000
181,181000,-2.0663460827013114,1000
182,182000,-1.1385443266391724,1000
183,183000,-4.582251583052529,1000
