episode,timestep,reward,length
1,1000,-1.028513802243123,1000
2,2000,-0.6747662403680181,1000
3,3000,-3.918842948868542,1000
4,4000,-2.964285514890147,1000
5,5000,-1.7596627629836272,1000
6,6000,-3.2317966971400565,1000
7,7000,-1.4751653677670968,1000
8,8000,-2.415304333482529,1000
9,9000,-1.4845018703756043,1000
10,10000,-1.3979075259196851,1000
11,11000,-1.453132514935518,1000
12,12000,-3.6430155974739233,1000
13,13000,-3.7895262942092156,1000
14,14000,-3.4994386566883344,1000
15,15000,-0.799714163629535,1000
16,16000,-0.36678349690630724,1000
17,17000,-3.715750302279022,1000
18,18000,-0.3467814032186771,1000
19,19000,-1.6865611822292916,1000
20,20000,-1.8206962943772627,1000
21,21000,-4.430869492756556,1000
22,22000,-0.6914451210383467,1000
23,23000,-3.7382048597025115,1000
24,24000,-4.091487697999652,1000
25,25000,-1.8492844927157506,1000
26,26000,-2.2257548993824203,1000
27,27000,-1.0796889451752123,1000
28,28000,-3.329163843713018,1000
29,29000,-1.183890202441446,1000
30,30000,-3.946400815402568,1000
31,31000,-1.9457275592175551,1000
32,32000,-1.8925560890075679,1000
33,33000,-2.7792246967795364,1000
34,34000,-1.1651272484042658,1000
35,35000,-3.4953034590849037,1000
36,36000,-4.200523394233884,1000
37,37000,-2.1061166383371295,1000
38,38000,-4.001737828963865,1000
39,39000,-2.366093217998618,1000
40,40000,-4.0477155013126955,1000
41,41000,-4.225702014701285,1000
42,42000,-2.532813385044336,1000
43,43000,-1.4159848302541347,1000
44,44000,-0.04384850452552129,1000
45,45000,-3.559888896552232,1000
46,46000,-2.3070678082574805,1000
47,47000,-4.741344422766887,1000
48,48000,-0.7577940720630514,1000
49,49000,-1.436318903687002,1000
50,50000,-0.9475782524633408,1000
51,51000,-1.5200599982116907,1000
52,52000,-2.7994317679437897,1000
53,53000,-0.571866371384892,1000
54,54000,-1.1432534866985307,1000
55,55000,-1.8279416021819161,1000
56,56000,-3.559913897828539,1000
57,57000,-0.14409817195773555,1000
58,58000,-0.783696571792552,1000
59,59000,-0.8473272250821675,1000
60,60000,-4.629161557950497,1000
61,61000,-1.129486099115259,1000
62,62000,-3.2424323343072405,1000
63,63000,-8.198287328959442,1000
64,64000,-2.151168051505166,1000
65,65000,-3.5857357574285063,1000
66,66000,-3.3575992667967025,1000
67,67000,-4.403456134801402,1000
68,68000,0.18932389772022182,1000
69,69000,1.1803838941540454,1000
70,70000,-1.7631839780540814,1000
71,71000,-3.847748160803198,1000
72,72000,-4.520333340314012,1000
73,73000,-0.3088002888865358,1000
74,74000,-1.362767353015221,1000
75,75000,-1.8344161890352575,1000
76,76000,-3.622489597166973,1000
77,77000,-2.0902939256522295,1000
78,78000,-5.314677570353691,1000
79,79000,-2.5411935796734086,1000
80,80000,-1.3940317284011534,1000
81,81000,-2.7963700618443514,1000
82,82000,-1.9978368307164687,1000
83,83000,-1.483854945987043,1000
84,84000,-0.5212485630518486,1000
85,85000,-2.3023121426942947,1000
86,86000,-0.9278404312627418,1000
87,87000,-3.0443610478708494,1000
88,88000,-1.8548699175444827,1000
89,89000,-2.7974137521846862,1000
90,90000,-0.27526537850139665,1000
91,91000,-4.516668474263027,1000
92,92000,-4.5166744877247105,1000
93,93000,-2.1176103969356137,1000
94,94000,-1.4014714704354454,1000
95,95000,-3.628389429256746,1000
96,96000,-1.9231826084147,1000
97,97000,-1.1974948262238467,1000
98,98000,-4.583227394731542,1000
99,99000,-2.73508825133139,1000
100,100000,-2.367065523911611,1000
101,101000,-3.4222054543146245,1000
102,102000,-1.0862222202375664,1000
103,103000,0.05922918499440372,1000
104,104000,-0.10988292128856232,1000
105,105000,-0.9824019340373097,1000
106,106000,-2.1451835254692586,1000
107,107000,-3.181234937996529,1000
108,108000,-2.1481153790764083,1000
109,109000,-2.1840328863014085,1000
110,110000,-4.096598074853074,1000
111,111000,-1.7643104088963701,1000
112,112000,-1.783151464055563,1000
113,113000,-3.6437929501456687,1000
114,114000,-1.8310850967812378,1000
115,115000,-2.4894058898048406,1000
116,116000,-2.6070700414916,1000
117,117000,-1.5050133485833637,1000
