episode,timestep,reward,length
1,17,79.7260860497041,17
2,72,247.60605049993524,55
3,96,113.52192718500326,24
4,116,94.35316255408532,20
5,146,133.07741045844472,30
6,167,102.05218335121344,21
7,211,197.8820580741193,44
8,272,301.5954979732637,61
9,313,192.1181618341634,41
10,346,148.86697815839577,33
11,385,197.24953158834313,39
12,402,78.59232169784165,17
13,423,95.80747659827786,21
14,478,275.48474598715933,55
15,501,112.99311435368782,23
16,517,70.99324062222937,16
17,550,163.51280366974265,33
18,585,167.7376914175743,35
19,635,248.89554699911758,50
20,656,100.40158151211912,21
21,684,129.7215444235318,28
22,705,100.77517816291909,21
23,756,225.9850871851639,51
24,779,109.86661641057279,23
25,835,293.3239865903626,56
26,863,136.2626868297149,28
27,899,177.1513501664984,36
28,918,90.19062061700546,19
29,949,143.33442622312793,31
30,974,117.27028898978554,25
31,995,96.93546160135125,21
32,1030,162.58269540818807,35
33,1051,102.05150379616538,21
34,1080,134.225493099295,29
35,1125,206.3299739230309,45
36,1166,194.9592035070837,41
37,1193,118.14485817616028,27
38,1219,127.97854329642523,26
39,1246,130.0505894298308,27
40,1268,104.1341268257824,22
41,1307,165.31130708217097,39
42,1335,133.8825940770714,28
43,1387,252.35421556167285,52
44,1429,190.69808022670452,42
45,1447,84.20611853734592,18
46,1468,94.0964656077776,21
47,1489,96.20137150187817,21
48,1513,116.32547983248452,24
49,1551,187.08437177323515,38
50,1581,136.6248705711818,30
51,1616,152.70844707960524,35
52,1664,235.53793159304308,48
53,1703,183.49751291719556,39
54,1741,172.16270924559646,38
55,1766,119.59768819671946,25
56,1788,108.0566671871982,22
57,1821,159.91409712895478,33
58,1843,105.66121501090247,22
59,1869,133.29627289433458,26
60,1891,101.79400401650362,22
61,1930,202.94236066783157,39
62,1952,103.77016865256809,22
63,1982,143.7533724759223,30
64,1997,69.33984042244204,15
65,2025,139.15395736496873,28
66,2058,165.58566132558252,33
67,2107,248.64199857759598,49
68,2133,114.38469173493172,26
69,2152,88.8878311925499,19
70,2200,228.194344153081,48
71,2247,234.0784114121357,47
72,2277,133.00940986291187,30
73,2295,84.46457229252832,18
74,2335,192.8095476732997,40
75,2369,146.187540549054,34
76,2385,71.75492813449186,16
77,2420,170.7645370860743,35
78,2452,160.36281637628673,32
79,2473,100.85334496740951,21
80,2496,105.39032414339471,23
81,2549,261.9120145787972,53
82,2566,79.12051378398948,17
83,2589,114.32600427387898,23
84,2629,199.19889767604474,40
85,2648,87.07266526358725,19
86,2676,125.37594935510322,28
87,2711,174.037333150837,35
88,2729,76.59797491500164,18
89,2780,258.7855772219828,51
90,2798,84.0748460130886,18
91,2814,71.10134254730909,16
92,2846,135.69256670972544,32
93,2883,181.09283776956,37
94,2917,154.681140587325,34
95,2943,121.75194580164364,26
96,2969,114.34661561037635,26
97,3008,192.65985576976152,39
98,3026,84.80765283964833,18
99,3090,275.49781902383535,64
100,3155,316.27872540279014,65
101,3188,157.35678166908968,33
102,3242,250.97212288558848,54
103,3263,93.59293353440918,21
104,3287,116.54671967486078,24
105,3303,70.31663921549338,16
106,3327,109.81501914162442,24
107,3370,208.35951823472914,43
108,3397,130.21618802334712,27
109,3417,93.47725430782879,20
110,3441,112.98203263577733,24
111,3464,106.15880855635058,23
112,3515,257.63756377039226,51
113,3552,181.55200231954277,37
114,3643,397.1652996954647,91
115,3678,156.32775469642095,35
116,3729,253.0831545086785,51
117,3754,122.76675633427747,25
118,3825,320.17191403684456,71
119,3848,102.34788299067709,23
120,3885,168.30385647843764,37
121,3924,182.94278825297943,39
122,3958,157.67219507704965,34
123,3982,104.95318077662694,24
124,4093,491.3800633114573,111
125,4139,219.27543693975252,46
126,4192,265.14936376962544,53
127,4216,113.33101806026251,24
128,4267,253.88507667517084,51
129,4296,142.61056904879348,29
130,4359,312.9370164155175,63
131,4389,133.85827684463655,30
132,4452,293.6286864310754,63
133,4554,455.79180636811344,102
134,4592,168.57803589575857,38
135,4625,148.80503522610542,33
136,4652,118.39456733102189,27
137,4672,78.63259755831278,20
138,4722,248.20196290940868,50
139,4748,127.17827805140193,26
140,4769,93.5020268367122,21
141,4796,132.27051193658357,27
142,4837,199.0545153514313,41
143,4865,121.8898832037634,28
144,4906,202.6638772585726,41
145,4948,195.76678737475387,42
146,4974,121.64534307822748,26
147,5010,165.1058004687263,36
148,5044,154.7840346420326,34
149,5120,373.51908077069646,76
150,5141,93.25129119574864,21
151,5161,90.5933032294523,20
152,5195,170.8293213674752,34
153,5225,148.59853517918512,30
154,5258,160.51466066418317,33
155,5289,156.1690050695169,31
156,5306,78.4647551257459,17
157,5353,219.7547988253438,47
158,5409,286.5945917511826,56
159,5530,543.7378527497327,121
160,5580,260.0099545912881,50
161,5631,256.10164420867574,51
162,5660,128.3996959833862,29
163,5695,179.28713495374956,35
164,5737,200.51587623194206,42
165,5767,148.81038594706163,30
166,5819,265.56227748609916,52
167,5866,224.54503969052539,47
168,5924,291.1208840847653,58
169,5951,127.335984718026,27
170,5995,207.5167345525817,44
171,6020,119.40679945812188,25
172,6063,195.4692012161678,43
173,6109,219.5007828454143,46
174,6136,129.77867813468345,27
175,6180,187.30022408699,44
176,6214,148.7792991065291,34
177,6262,244.68392564840414,48
178,6291,126.6064148767661,29
179,6311,90.57579011296704,20
180,6352,182.49348987227498,41
181,6414,318.40682648809343,62
182,6444,140.42171724947664,30
183,6501,285.46023496619944,57
184,6560,298.6318766091934,59
185,6601,190.95687902107434,41
186,6628,126.35159829041332,27
187,6659,150.31308810850396,31
188,6720,306.8276620154583,61
189,6793,323.12509360055805,73
190,6816,111.57394864342531,23
191,6869,262.075784207857,53
192,6923,257.4094142536721,54
193,6976,261.5302814340327,53
194,7031,280.1488051625018,55
195,7065,163.64484280374978,34
196,7090,119.11830733309019,25
197,7111,101.50014819031375,21
198,7192,385.5236097576669,81
199,7229,160.09458741958355,37
200,7272,224.50860094844268,43
201,7309,176.69577734165628,37
202,7353,214.31264640471161,44
203,7397,203.87611821954744,44
204,7487,431.456834397542,90
205,7534,237.34824137274265,47
206,7596,326.1210985157119,62
207,7621,119.7292341866488,25
208,7674,267.2623558258404,53
209,7721,217.75475560842514,47
210,7775,260.0340192482044,54
211,7821,210.05625828772023,46
212,7874,276.5404654305568,53
213,7920,220.49711287730958,46
214,7992,362.7498395579489,72
215,8021,128.95173081538914,29
216,8049,141.4030081774245,28
217,8090,192.34899104625762,41
218,8122,151.35798661909493,32
219,8140,83.00293322068444,18
220,8178,185.13519295725195,38
221,8215,189.71507917220487,37
222,8257,185.3077106744041,42
223,8318,299.8581351565669,61
224,8377,311.6210825736642,59
225,8419,205.28524541537467,42
226,8486,347.2130542645997,67
227,8509,102.28328571041796,23
228,8569,306.2904050794314,60
229,8636,335.79681841751426,67
230,8694,283.6665854462777,58
231,8733,187.5340422722177,39
232,8782,251.12370367820432,49
233,8847,307.3865115503141,65
234,8889,199.7913153636764,42
235,8932,196.42554300824344,43
236,8967,172.17306598016117,35
237,9004,180.90039453523445,37
238,9031,128.52725301044902,27
239,9086,276.30606214544036,55
240,9117,153.07297518250394,31
241,9180,325.5825818153222,63
242,9239,295.2254579597155,59
243,9266,133.07958546951795,27
244,9318,259.1126270033093,52
245,9368,250.04084398978353,50
246,9409,206.7142900436301,41
247,9513,515.4587889424758,104
248,9563,249.0179776927542,50
249,9616,272.99275379214095,53
250,9682,347.392916683694,66
251,9730,239.86933248606925,48
252,9758,132.06578515412897,28
253,9800,214.20047953727249,42
254,9862,290.0826722276868,62
255,9909,232.1667526333726,47
256,9977,348.9985889361178,68
257,10035,305.30925898166777,58
258,10093,287.3748390270767,58
259,10147,240.0549352562446,54
260,10210,280.959567007185,63
261,10258,242.26802724949277,48
262,10311,239.7007402106774,53
263,10351,185.97952339252078,40
264,10376,118.15056012282986,25
