episode,timestep,reward,length
1,41,200.0133322505778,41
2,81,199.06833639826152,40
3,121,190.74190911624436,40
4,161,193.78770648220225,40
5,202,202.25606163377537,41
6,242,194.0316997892547,40
7,283,203.4875729757076,41
8,323,195.61981019168635,40
9,363,198.1650398733431,40
10,403,196.2352709189837,40
11,442,191.84516738559503,39
12,482,194.64083076060612,40
13,523,205.1740022163631,41
14,563,195.72818546477617,40
15,603,196.56912550912247,40
16,644,202.74855636978654,41
17,684,198.15230330266843,40
18,724,194.55182002681747,40
19,765,203.25404358631928,41
20,804,195.4639683055294,39
21,844,196.43559429776488,40
22,885,205.146838924105,41
23,925,195.819758359144,40
24,965,197.62756178762567,40
25,1006,204.71475763149948,41
26,1046,200.57674636566634,40
27,1087,204.3443453643256,41
28,1128,204.4681569317654,41
29,1168,196.62137639278947,40
30,1208,195.0966777568394,40
31,1248,197.9723044319814,40
32,1289,202.02553861475104,41
33,1329,192.73555914382527,40
34,1370,204.11204361203866,41
35,1411,204.73681441255744,41
36,1451,198.373372194148,40
37,1491,200.6256643059425,40
38,1531,201.03510031515341,40
39,1571,197.67755744317486,40
40,1612,203.27212541105527,41
41,1652,195.84362367305147,40
42,1692,197.03661607072218,40
43,1732,197.35029252227676,40
44,1772,201.49126416641084,40
45,1812,195.80774537490433,40
46,1852,192.63629462031005,40
47,1892,197.6015320800792,40
48,1933,201.65263221465534,41
49,1973,199.9558203192591,40
50,2014,205.20491341816336,41
51,2054,198.2535416997153,40
52,2094,195.46090201096433,40
53,2134,196.23282000406994,40
54,2174,197.92603163699985,40
55,2215,201.19641264540735,41
56,2255,195.630138991291,40
57,2272,79.59342779537282,17
58,2321,237.5171230804302,49
59,2340,82.74655542879964,19
60,2358,83.99632529795694,18
61,2431,377.9367866359487,73
62,2462,145.41802923661763,31
63,2480,84.92070201743425,18
64,2513,144.64551976184842,33
65,2554,192.89986424743296,41
66,2589,164.91162413141066,35
67,2629,178.66576763646813,40
68,2649,96.20485166402406,20
69,2713,342.99854372815423,64
70,2769,298.0980480469234,56
71,2809,194.0414886304542,40
72,2858,244.7968592122054,49
73,2897,196.08493914170785,39
74,2940,216.99576006171455,43
75,3004,326.6702467440298,64
76,3063,301.39875624867364,59
77,3122,302.0652188861844,59
78,3156,169.26790832124576,34
79,3189,161.23097943546924,33
80,3220,153.7276241921624,31
81,3284,339.73726557267673,64
82,3321,181.12993392173428,37
83,3378,303.6032327945708,57
84,3433,282.9474729112034,55
85,3486,275.0155991815574,53
86,3533,210.86458844261696,47
87,3587,266.6843312563916,54
88,3648,324.2164330896914,61
89,3709,316.19147153992344,61
90,3770,312.24660467590553,61
91,3811,191.26333940554065,41
92,3870,301.8005694672556,59
93,3944,370.9679017302778,74
94,4017,377.8889898313958,73
95,4097,399.10923844607106,80
96,4168,371.19638574802553,71
97,4230,323.8636236010128,62
98,4296,324.151563956454,66
99,4363,324.03078165944584,67
100,4390,132.3271402958618,27
101,4421,150.7002413323642,31
102,4478,253.26080181796178,57
103,4536,271.0740303407468,58
104,4608,357.8775923626254,72
105,4641,159.85913164140814,33
106,4665,112.60007528473301,24
107,4730,328.9977565491065,65
108,4759,139.19663985003348,29
109,4837,357.7636084303919,78
110,4891,251.6969442703588,54
111,4945,270.2579869740839,54
112,5022,371.60933260024717,77
113,5090,343.16838899720653,68
114,5149,302.40710748300546,59
115,5212,332.4122072548563,63
116,5256,221.13753638191656,44
117,5337,375.110193244273,81
118,5371,165.71153955500935,34
119,5426,261.7188268297699,55
120,5487,276.0682298101319,61
121,5536,255.2668647793817,49
122,5585,256.1596648798488,49
123,5642,284.5850766136257,57
124,5701,308.5934439976219,59
125,5755,260.61080091806747,54
126,5803,221.93720231013447,48
127,5831,123.99517549283728,28
128,5851,95.07701292412789,20
129,5913,329.1601247416698,62
130,5940,131.51850005467537,27
131,5972,156.6708290901879,32
132,6025,277.9458827395767,53
133,6073,244.2171744985728,48
134,6151,413.08763664936885,78
135,6174,108.29340483243503,23
136,6223,216.3409562971027,49
137,6278,270.1426514126584,55
138,6327,239.010481226506,49
139,6414,449.32663489933043,87
140,6451,177.74136222942033,37
141,6493,199.50393107052693,42
142,6560,338.1815371865404,67
143,6594,164.48434185563985,34
144,6648,273.69517920671603,54
145,6717,363.46583304193274,69
146,6751,168.13998496383664,34
147,6829,356.055845891065,78
148,6878,250.46073618651775,49
149,6942,328.56463197242664,64
150,7009,343.6176128833689,67
151,7082,375.6894919528532,73
152,7157,401.44558680311525,75
153,7185,133.75338270692586,28
154,7219,154.02770873838122,34
155,7260,199.8397011134697,41
156,7349,455.01469360500914,89
157,7454,522.0021322014796,105
158,7520,330.4957861127748,66
159,7562,210.21200135302178,42
160,7619,297.079507605412,57
161,7681,307.5873518396759,62
162,7721,194.47226886157574,40
163,7789,365.82343024642233,68
164,7855,336.9159545731558,66
165,7920,347.90995635138313,65
166,7986,349.7307234904518,66
167,8058,343.9611906353182,72
168,8144,423.84720833900195,86
169,8199,249.25927697885618,55
170,8277,382.82533188313795,78
171,8380,503.336637632287,103
172,8470,443.8111762020542,90
173,8546,371.361804899769,76
174,8608,287.5977223436588,62
175,8649,196.7567032164949,41
176,8747,461.9216614806869,98
177,8813,286.38599084695403,66
178,8892,421.73333932654486,79
179,8959,301.84413968890345,67
180,8996,159.3100670548628,37
181,9083,426.3138713007377,87
182,9169,430.6879727757828,86
183,9230,276.56599141669983,61
184,9292,315.59036063103423,62
185,9354,285.88116853289597,62
186,9408,277.06804103012934,54
187,9480,367.17640619898174,72
188,9546,353.93173600071214,66
189,9598,264.31412777534246,52
190,9638,188.64485876899894,40
191,9696,284.41801159309125,58
192,9744,238.88157854663316,48
193,9775,139.46164596091444,31
194,9809,155.192036109881,34
195,9845,166.206430832102,36
196,9893,221.49335086485297,48
197,9924,141.9106988510509,31
198,9972,237.64440923135032,48
199,10033,315.26481804790967,61
200,10094,295.38668869872015,61
201,10151,307.81612508313674,57
202,10212,328.0647776755794,61
203,10254,211.66800817539857,42
204,10297,196.56647254657256,43
205,10391,491.99383795563745,94
206,10474,421.7392836810865,83
207,10547,365.69567693309074,73
208,10618,345.59606938607385,71
209,10647,130.94631828904144,29
210,10727,398.2697036375285,80
211,10799,338.86624705227626,72
212,10873,336.81078780612376,74
213,10940,353.3305320963569,67
214,11040,458.6091253076635,100
215,11116,349.8798639211173,76
216,11221,508.64265889419045,105
217,11286,335.0379246237944,65
218,11321,153.66762683846804,35
219,11411,443.23625101670746,90
220,11489,377.1294378907866,78
221,11557,353.0511037854779,68
222,11609,254.05978963104616,52
223,11674,325.12234176879804,65
224,11769,443.6222061596264,95
225,11816,243.48793681790244,47
226,11873,277.448553827298,57
227,11979,545.8032126147511,106
228,12045,343.45964632546725,66
229,12096,258.53025088776747,51
230,12159,333.1187249682635,63
231,12196,188.42739187233872,37
232,12277,372.3491118864372,81
233,12340,319.4269890273432,63
234,12415,365.42180194999304,75
235,12479,332.68259221171576,64
236,12570,458.28341421798984,91
237,12626,294.22252622703746,56
238,12680,276.6052022151738,54
239,12758,383.3994466431312,78
240,12838,379.3886984530026,80
241,12901,323.89945326658955,63
242,12954,229.10472165712739,53
243,13018,334.11669104715804,64
244,13077,297.0004701772542,59
245,13135,302.4154798366241,58
246,13172,174.40602316839792,37
247,13237,308.9841655472927,65
248,13255,84.02218305145317,18
249,13285,136.7084175719567,30
250,13323,181.41513480613395,38
251,13387,279.7345465922408,64
252,13407,94.48831965426649,20
253,13428,101.21721067998212,21
254,13475,225.727690437991,47
255,13542,352.91672163703873,67
256,13612,314.303268480218,70
257,13676,325.57927526097836,64
258,13731,247.89387651366656,55
259,13775,216.76207606637345,44
260,13803,129.02251899860894,28
261,13859,286.89467858503247,56
262,13891,155.85441341150388,32
263,13907,73.81407623189574,16
264,13965,306.89552697637333,58
265,14013,255.40298839234458,48
266,14050,171.98310182455884,37
267,14069,89.19284353130863,19
268,14090,100.32702414682412,21
269,14117,132.17135497332595,27
270,14185,347.32828995880186,68
271,14237,276.5878747528181,52
272,14303,334.64537421941816,66
273,14372,368.5782985478489,69
274,14432,308.3446208283644,60
275,14499,350.52447722853196,67
276,14560,313.5226977994935,61
277,14652,412.6434739752638,92
278,14727,391.1306181709188,75
279,14864,673.9512259485824,137
280,14935,352.1571264691066,71
281,15017,437.0143654490616,82
282,15085,360.5312950326891,68
283,15142,303.8510497294406,57
284,15200,288.9533838851282,58
285,15271,369.3018684607326,71
286,15326,271.3557377069996,55
287,15413,442.50740526545405,87
288,15473,277.73145899327176,60
289,15550,343.27799292292207,77
290,15633,431.13870802412,83
291,15711,387.6154693911057,78
292,15801,415.00581815446344,90
293,15895,443.0587893866838,94
294,15959,340.8732781183528,64
295,16027,344.3921503690784,68
296,16114,443.1840090808898,87
297,16205,438.64510788469966,91
298,16276,381.0741869118845,71
299,16343,355.22275486138153,67
300,16445,475.92301691023164,102
301,16517,342.7620776873988,72
302,16580,296.6355743881432,63
303,16620,189.59789067303802,40
304,16676,296.3974326927366,56
305,16762,407.07183292343535,86
306,16811,246.92229240152705,49
307,16856,197.95484158798155,45
308,16891,161.79120365264518,35
309,16968,402.1642603753381,77
310,17063,424.54549158397737,95
311,17109,210.80188069979894,46
312,17173,338.3032433367053,64
313,17254,421.3843539325185,81
314,17308,250.48639763619988,54
315,17384,385.13798155054326,76
316,17405,101.57141310003222,21
317,17460,273.69263087529987,55
318,17523,330.7985478453745,63
319,17581,288.63299787250696,58
320,17614,157.70978217567995,33
321,17699,408.3222801131339,85
322,17747,238.75894833222756,48
323,17805,296.9769671287509,58
324,17870,343.97911254802744,65
325,17902,151.92063268262606,32
326,17939,176.93934399553837,37
327,17977,184.88275239062565,38
328,18074,447.2103886235515,97
329,18132,294.398199761981,58
330,18197,343.17136506083324,65
331,18239,194.11369857097765,42
332,18289,228.75439536734643,50
333,18337,247.6504912362394,48
334,18361,112.77954248186381,24
335,18412,259.55901737876303,51
336,18531,594.825621525652,119
337,18607,407.3201802318216,76
338,18677,366.2164307818186,70
339,18727,241.7233696431371,50
340,18757,151.2453044193011,30
341,18823,355.1055643674953,66
342,18899,408.0589777482447,76
343,18979,425.88724347133626,80
344,19057,413.8476754501176,78
345,19132,388.4218437011793,75
346,19211,418.62660866629784,79
347,19282,366.5013271508002,71
348,19340,313.0529408124523,58
349,19406,346.02059377530577,66
350,19471,344.1770634661596,65
351,19559,461.043954165759,88
352,19639,424.3778934615317,80
353,19726,455.80534129747315,87
354,19810,441.6603300655732,84
355,19881,336.11465511023727,71
356,19942,288.4114960330675,61
357,20005,324.8404849821407,63
358,20085,400.53038348209077,80
359,20155,367.0598707260738,70
360,20235,429.04574592682815,80
361,20317,407.8111084069969,82
362,20438,557.218578456868,121
363,20551,528.2113362043779,113
364,20622,383.3305057826743,71
365,20708,443.6534366699235,86
366,20795,436.08581839691504,87
367,20868,379.01034242096085,73
368,20918,240.37593126243016,50
369,20984,327.7598365254185,66
370,21052,341.4612821484602,68
371,21139,428.1442203453086,87
372,21180,195.77830612369357,41
373,21225,218.02637885745202,45
374,21294,337.3684450429116,69
375,21344,247.838381900174,50
376,21406,305.3500361241356,62
377,21465,281.7015392624252,59
378,21527,278.1635930579405,62
379,21594,332.9082633377088,67
380,21674,353.9199538383599,80
381,21746,324.3605729010785,72
382,21803,262.79588740095636,57
383,21844,188.44428904365017,41
384,21884,179.21144151323455,40
385,21910,120.05756250477992,26
386,21949,180.99367693189882,39
387,22000,248.82609768349155,51
388,22059,279.56511245582703,59
389,22121,308.4623247046666,62
390,22197,340.8018851484706,76
391,22283,385.98437754134056,86
392,22313,143.1990743066518,30
393,22362,249.82147288653618,49
394,22441,395.01215667660045,79
395,22506,304.33780436389657,65
396,22540,157.88095465170107,34
397,22628,451.92769663692866,88
398,22682,275.94943248594467,54
399,22728,222.55934224122126,46
400,22778,256.36348284569027,50
401,22826,241.4409199969394,48
402,22883,297.3860315793968,57
403,22951,360.48440131152194,68
404,23022,372.19231073349,71
405,23058,174.0474033440431,36
406,23115,295.99314356003487,57
407,23175,293.19610845469407,60
408,23221,226.5863967033344,46
409,23299,413.0404044852163,78
410,23379,417.8614195409365,80
411,23449,372.9057292473044,70
412,23518,358.5013390275389,69
413,23601,421.0452617111064,83
414,23671,372.9826162873474,70
415,23736,347.71271292658525,65
416,23805,340.66232376624635,69
417,23884,415.30072815340105,79
418,23945,324.17457840080124,61
419,24038,484.224202610256,93
420,24105,355.77094102926003,67
421,24184,423.41085163192537,79
422,24254,374.3957532359493,70
423,24329,365.3772521351781,75
424,24419,462.36718468269174,90
425,24469,232.6790038758346,50
426,24552,428.4063298962041,83
427,24621,359.55058846963556,69
428,24707,385.7564001084112,86
429,24785,398.16734478083794,78
430,24863,345.425842133303,78
431,24931,342.1339894561122,68
432,25010,367.99891557713744,79
433,25096,444.6939069512812,86
434,25153,309.9760741474464,57
435,25214,324.3887149580631,61
436,25298,420.2138768017938,84
437,25381,400.3674939869375,83
438,25457,398.80888971641156,76
439,25531,394.1440307142481,74
440,25562,131.0314653984568,31
441,25608,219.66737362099875,46
442,25666,299.35033262075575,58
443,25758,411.58541006480647,92
444,25822,331.4055363210415,64
