episode,timestep,reward,length
1,16,73.17738156043671,16
2,73,278.2569062567191,57
3,97,112.26770660782766,24
4,127,131.61198073432988,30
5,150,105.07503126119701,23
6,205,289.1038657744477,55
7,222,79.01268611856149,17
8,275,253.84982729126912,53
9,305,147.54644342425507,30
10,329,114.33242568985419,24
11,359,126.51090151639353,30
12,392,165.70435179051915,33
13,416,115.86573553316005,24
14,441,119.03715440532402,25
15,487,235.5310575376801,46
16,508,99.15802575114523,21
17,533,113.8356886122031,25
18,551,84.18178943488397,18
19,596,213.66539222962388,45
20,622,123.94064911201764,26
21,672,259.45037829665296,50
22,695,108.80898166602373,23
23,727,154.4958256606338,32
24,753,124.5471606918627,26
25,781,135.1669500501221,28
26,804,110.16737855985535,23
27,839,176.67870320883105,35
28,885,217.92773184450746,46
29,906,100.98826779253902,21
30,979,350.37328621760855,73
31,1032,284.3340187399422,53
32,1063,143.41598358489904,31
33,1080,78.81060390239483,17
34,1125,216.23552684633742,45
35,1145,97.1629239932114,20
36,1194,251.7464540467722,49
37,1244,229.40482333646355,50
38,1291,229.53322335419568,47
39,1309,83.614067265874,18
40,1346,187.2959483286432,37
41,1377,146.19094712757894,31
42,1417,186.13106152432115,40
43,1443,117.10080503399048,26
44,1477,162.87478317710693,34
45,1498,95.84995909549254,21
46,1526,136.75116476652758,28
47,1570,196.48009488381433,44
48,1597,128.56644819132876,27
49,1628,156.57830877059033,31
50,1682,236.0288443290019,54
51,1710,129.60076429067976,28
52,1734,114.60432708915185,24
53,1752,85.45308690910935,18
54,1830,366.6571061816401,78
55,1894,320.8972447743507,64
56,1915,90.73853116213897,21
57,1957,197.6081960151475,42
58,1981,104.82335092620592,24
59,2014,145.93650770383863,33
60,2063,260.15174056588785,49
61,2093,146.38160104143938,30
62,2120,126.48479086422081,27
63,2150,132.8555522160857,30
64,2208,304.25082977121457,58
65,2236,134.03933607247956,28
66,2256,92.41350252625745,20
67,2311,282.59118479536016,55
68,2329,85.75254875662074,18
69,2386,286.75712800350277,57
70,2428,179.984309344202,42
71,2467,192.62248909346908,39
72,2508,211.05610212436875,41
73,2567,289.14789269208626,59
74,2609,198.37751407189947,42
75,2627,84.66666852682617,18
76,2673,232.4285907506849,46
77,2740,295.2867446694939,67
78,2790,222.91004127581468,50
79,2821,147.35657297545038,31
80,2848,131.23170130974867,27
81,2876,123.96509217421233,28
82,2906,151.2748261014289,30
83,2939,158.54962962785365,33
84,2956,78.69140441677953,17
85,2996,215.17532982757825,40
86,3034,195.36786408263657,38
87,3081,228.6542037782139,47
88,3098,79.30929811856304,17
89,3139,206.47805499369642,41
90,3179,211.9944013703458,40
91,3222,210.3002457855827,43
92,3279,292.0477924076731,57
93,3324,224.31737253679174,45
94,3379,255.3757047258971,55
95,3441,322.732002155553,62
96,3481,186.38290056251415,40
97,3514,157.5328687129324,33
98,3531,79.14698719192911,17
99,3590,299.2713104989705,59
100,3648,305.6534594450431,58
101,3667,82.86306565640784,19
102,3741,362.32034557389386,74
103,3770,131.77916217545362,29
104,3801,147.31420451250517,31
105,3830,128.0956943302273,29
106,3879,232.22601475495608,49
107,3918,188.2267513891299,39
108,3949,142.67341655620464,31
109,3995,222.11560628212052,46
110,4054,316.84605416517803,59
111,4084,131.32576937516606,30
112,4121,167.19937185010286,37
113,4142,90.63057396801142,21
114,4191,258.9841474382057,49
115,4236,226.103478361964,45
116,4297,320.5278440388574,61
117,4362,336.1717681486417,65
118,4421,304.9375436024699,59
119,4460,190.93310195253127,39
120,4509,255.96400616633613,49
121,4545,178.01643025011086,36
122,4577,147.09891477151035,32
123,4648,320.3752034308846,71
124,4672,110.97616197281327,24
125,4706,160.26406646371026,34
126,4729,99.15765030911912,23
127,4757,135.2415734331747,28
128,4789,156.41557849398774,32
129,4845,287.5660859565127,56
130,4873,122.00796512122666,28
131,4903,130.79286043919637,30
132,4928,107.38090598626499,25
133,4944,73.99047681601301,16
134,4962,78.68781788394836,18
135,5005,216.23011939919058,43
136,5030,108.2668875160463,25
137,5061,135.09603451244783,31
138,5085,113.39561653657728,24
139,5127,228.90438828809405,42
140,5180,252.84930252216301,53
141,5216,161.92752850868675,36
142,5242,128.52647067959973,26
143,5272,146.93269333373254,30
144,5298,125.98790740385459,26
145,5335,170.45105260964272,37
146,5366,154.7323808855495,31
147,5416,251.2272457453056,50
148,5459,197.99230570522812,43
149,5499,186.4372439227601,40
150,5532,149.69329815260832,33
151,5560,136.1414788390905,28
152,5582,103.26144070819373,22
153,5656,330.6726169096493,74
154,5674,83.56810476797449,18
155,5695,99.67120585954892,21
156,5728,145.3162416478747,33
157,5756,125.91865325408439,28
158,5814,299.80269309728703,58
159,5834,85.66433645086744,20
160,5879,224.83852389408707,45
161,5916,174.60403301079734,37
162,5952,161.58966792886486,36
163,6004,251.92222371417907,52
164,6047,213.46892864915185,43
165,6085,175.66509880141496,38
166,6101,73.40653453632642,16
167,6149,232.25303474176107,48
168,6165,71.47593026002305,16
169,6188,100.16571189834664,23
170,6224,175.56679422813482,36
171,6259,162.16750956683794,35
172,6287,136.42138690475167,28
173,6304,72.71159512711586,17
174,6351,223.03973565727063,47
175,6395,215.4513440505806,44
176,6438,188.65340143825821,43
177,6483,230.461842630902,45
178,6531,204.68782381248474,48
179,6553,104.4910995558079,22
180,6582,126.97997205904626,29
181,6637,284.3593112277724,55
182,6681,208.11276165206866,44
183,6725,214.78733328630872,44
184,6761,164.79139878184967,36
185,6789,121.61432132303806,28
186,6821,156.09482208965156,32
187,6856,157.78634053091872,35
188,6893,174.12079581455077,37
189,6919,124.50388237009584,26
190,6948,134.0766942844288,29
191,6971,102.2229347336212,23
192,6991,85.42035170938635,20
193,7028,162.192630984754,37
194,7083,267.8556067626545,55
195,7106,106.62199170444691,23
196,7141,153.05889713664553,35
197,7193,235.45795151238008,52
198,7216,99.81608473577354,23
199,7244,132.89248344032728,28
200,7305,313.90709112357496,61
201,7358,231.9185759930439,53
202,7402,207.45032012359192,44
203,7438,179.37014008887607,36
204,7465,127.52124722152885,27
205,7526,319.6440974253556,61
206,7567,196.30462428356873,41
207,7609,197.64110027850154,42
208,7652,223.8251895582452,43
209,7678,124.13664704538131,26
210,7718,180.0055816673493,40
211,7743,122.83376924912025,25
212,7803,310.9987150058303,60
213,7846,216.93499629968218,43
214,7863,78.24949833900487,17
215,7893,134.04988312150076,30
216,7922,128.6082970143286,29
217,7963,195.39930796868333,41
218,7984,97.00558438001028,21
219,8027,198.17370022043752,43
220,8087,281.48471347213365,60
221,8127,171.220082128199,40
222,8187,244.9401117762723,60
223,8231,236.203823224905,44
224,8268,155.21610671364567,37
225,8312,219.9684234707323,44
226,8338,100.05794034765086,26
227,8361,111.52362386183742,23
228,8389,120.99999239135221,28
229,8419,135.6822187698457,30
230,8449,148.29091248499202,30
231,8490,205.18341730459977,41
232,8516,119.76815557298684,26
233,8559,206.30773530349768,43
234,8603,215.04275149588565,44
235,8651,231.09151753601384,48
236,8676,119.11532343550527,25
237,8723,240.59256814452877,47
238,8766,214.7497855370498,43
239,8796,135.13314393633314,30
240,8869,378.142835097064,73
241,8908,187.07420222123432,39
242,8962,237.0120483502409,54
243,8995,153.26853779187314,33
244,9026,135.05987871914274,31
245,9044,83.63761820563546,18
246,9088,217.75353750088146,44
247,9158,356.5617816282367,70
248,9186,132.37490270902384,28
249,9208,95.34615773971237,22
250,9259,247.71397043088606,51
251,9318,299.3358595692448,59
252,9340,102.43190491757638,22
253,9377,183.6562213201585,37
254,9413,161.15732665994835,36
255,9436,98.4191800243558,23
256,9478,211.41636319832585,42
257,9518,165.71078060067154,40
258,9562,219.68337514988457,44
259,9586,115.57855750461812,24
260,9608,97.63936723073287,22
261,9659,263.03791137220014,51
262,9710,262.0258835130547,51
263,9728,83.62112093833487,18
264,9749,98.35672691916362,21
265,9781,149.78643718212723,32
266,9823,189.73382607218883,42
267,9869,223.31548322494214,46
268,9890,98.52692057210125,21
269,9947,301.8750953692036,57
270,9991,213.1497843309517,44
271,10028,182.21114921782274,37
272,10082,254.08450897422026,54
273,10123,189.4015813036927,41
274,10152,135.74134278270927,29
275,10218,345.0037808303881,66
276,10271,257.89835552169814,53
277,10305,155.05127747691202,34
278,10352,219.51082371773796,47
279,10393,178.0419174115575,41
280,10420,127.58182929711526,27
281,10459,172.09242276507194,39
282,10504,205.0581339313252,45
283,10556,241.75156951791735,52
284,10588,134.93917587503503,32
285,10614,119.76817409482213,26
286,10668,250.12600040720227,54
287,10724,271.38079510619787,56
288,10799,348.4667184814362,75
289,10862,339.7665653877304,63
290,10890,132.64900516441637,28
291,10919,134.3787830590341,29
292,10936,77.3977432182045,17
293,10973,174.41674749434125,37
294,11000,124.38792302945933,27
295,11039,177.96138392151514,39
296,11106,346.2028928417454,67
297,11145,178.42977491099865,39
298,11191,244.6921679828346,46
299,11243,254.35366562586756,52
300,11287,202.04547680361856,44
301,11325,178.2731863221162,38
302,11371,213.5378297303942,46
303,11427,267.0897364924916,56
304,11452,99.89863293782898,25
305,11472,90.88487491864332,20
306,11525,275.1959197155336,53
307,11597,363.8151786939657,72
308,11645,217.8461484167302,48
309,11677,153.83640131862722,32
310,11720,213.56950918085366,43
311,11752,143.63880349643944,32
312,11794,208.84529364559899,42
313,11824,142.25873032944926,30
314,11861,179.9618310239112,37
315,11905,201.71110067627822,44
316,11951,207.976506988448,46
317,11990,192.19220991018437,39
318,12028,161.6929690584392,38
319,12067,193.60875031135942,39
320,12101,158.9199720160651,34
321,12136,164.65081768484902,35
322,12182,237.18130323198483,46
323,12210,117.99814032767179,28
324,12237,126.44171643624624,27
325,12272,168.70736575617374,35
326,12313,192.46752183151656,41
327,12334,93.80708011779753,21
328,12357,104.6709907277733,23
329,12426,354.53649599090147,69
330,12445,87.40271314028435,19
331,12497,271.1676068187479,52
332,12545,224.64487633731162,48
333,12579,163.63020132629836,34
334,12616,174.27439460094666,37
335,12650,143.5242870267801,34
336,12686,166.5804483135637,36
337,12728,188.88213053201918,42
338,12828,438.62241740790427,100
339,12906,380.3350000979948,78
340,12946,196.6790048150386,40
341,12996,230.34590319127452,50
342,13039,213.33199399566573,43
343,13063,108.95243540589638,24
344,13099,165.43998778085185,36
345,13156,260.9856344038461,57
346,13212,258.68762174345534,56
347,13240,134.29087847201848,28
348,13296,252.17513369298229,56
349,13354,236.41936112508435,58
350,13383,141.09705569596986,29
351,13424,188.33003607417277,41
352,13486,279.71382313893116,62
353,13526,179.98893570561648,40
354,13576,252.36528898240158,50
355,13615,188.19155253443594,39
356,13686,340.7047372919592,71
357,13762,371.9837179338463,76
358,13810,242.54225019783888,48
359,13860,241.47387482279555,50
360,13899,174.65018925709018,39
361,13917,81.78381625566244,18
362,13943,117.97229959198229,26
363,13967,107.56524785061401,24
364,14025,281.38146247984906,58
365,14060,159.7743222661242,35
366,14114,260.25685839269187,54
367,14175,297.96418684519733,61
368,14224,232.15267071565754,49
369,14277,265.46046722188584,53
370,14319,211.98249327744813,42
371,14375,287.86962498094744,56
372,14411,174.2159466068173,36
373,14445,168.108564490461,34
374,14469,110.03499393490972,24
375,14575,549.3080463778455,106
376,14662,356.91838820622536,87
377,14752,467.1368529317671,90
378,14801,232.73915711078766,49
379,14834,142.74091115798728,33
380,14874,185.24179073962733,40
381,14915,197.11036530504663,41
382,14966,257.21196394281293,51
383,15000,170.2534544201029,34
384,15100,456.0488957373254,100
385,15156,285.8383798401192,56
386,15211,269.0031744385841,55
387,15257,223.88908603541958,46
388,15318,304.29274502863115,61
389,15378,301.17010604331153,60
390,15444,295.8612911615354,66
391,15494,252.85722826895528,50
392,15560,325.8801811404863,66
393,15584,115.4546986264575,24
394,15607,106.93113360342437,23
395,15624,76.8314927541137,17
396,15683,308.61013601803086,59
397,15702,80.94573992708243,19
398,15733,133.85556719699915,31
399,15786,259.04900183240863,53
400,15843,290.51422289999914,57
401,15900,290.20357101817905,57
402,15933,163.7159451013713,33
403,15992,291.0559923238174,59
404,16062,356.146370085453,70
405,16094,151.63360321618165,32
406,16149,272.8800855646973,55
407,16200,239.83539009576504,51
408,16225,108.62701612861733,25
409,16284,294.60795703064167,59
410,16340,250.20494083379714,56
411,16385,215.91592737744566,45
412,16421,173.5196420103358,36
413,16475,260.075471291598,54
414,16553,385.41109840683254,78
415,16599,227.1231447452557,46
416,16655,256.23047729460535,56
417,16743,443.8924972040939,88
418,16804,301.5646915392238,61
419,16858,277.4967282087692,54
420,16909,233.95292341524862,51
421,17003,432.1246176637995,94
422,17033,141.0538213204611,30
423,17067,145.34485808769267,34
424,17110,204.08023737126018,43
425,17187,396.10314728103924,77
426,17248,300.97981192144465,61
427,17265,69.4453566281037,17
428,17300,171.05548235127793,35
429,17360,291.81748093716,60
430,17406,212.29489306535058,46
431,17454,207.01631547374168,48
432,17511,285.7173159311513,57
433,17559,230.77413698160692,48
434,17600,205.64998979303667,41
435,17653,263.78143138779717,53
436,17715,285.24493011308545,62
437,17760,204.6747101288278,45
438,17797,179.9853513450059,37
439,17843,207.37217380524763,46
440,17911,304.9591983497009,68
441,17931,90.85107403310919,20
442,17948,76.61915813315676,17
443,17988,195.16480935021875,40
444,18029,203.8498099346624,41
445,18093,318.95729083709034,64
446,18144,230.65352457792383,51
447,18207,316.1578984867307,63
448,18272,314.5794800561099,65
449,18329,296.0821631868817,57
450,18375,239.08767218670954,46
451,18428,255.16276746844977,53
452,18466,175.07245726875638,38
453,18544,383.00793482403714,78
454,18594,233.27209896590267,50
455,18639,214.5395896458086,45
456,18673,149.50732175455855,34
457,18720,212.3923122932257,47
458,18789,336.47567021386317,69
459,18875,429.7364027048293,86
460,18931,260.3912351183052,56
461,18983,280.58346337263083,52
462,19038,273.1946721909698,55
463,19079,176.84735557213975,41
464,19138,299.184356961046,59
465,19200,311.7735046486677,62
466,19222,99.9534428233654,22
467,19245,106.06307042989796,23
468,19280,155.89010389515505,35
469,19324,196.54591458181767,44
470,19365,197.50835494258692,41
471,19430,306.1350266140271,65
472,19455,118.18888307147591,25
473,19491,142.4473883472378,36
474,19521,138.66370980810987,30
475,19569,221.37476099290419,48
476,19619,251.11652149948964,50
477,19673,271.4189512729055,54
478,19731,305.12337722853255,58
479,19769,180.65177072233493,38
480,19806,178.0848243719635,37
